"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Group"
"1","GO:0071222","cellular response to lipopolysaccharide","8/21","292/21273",0.0273972602739726,27.7534246575342,14.4701030141548,1.99600460535947e-10,1.93617651073987e-07,1.06280273434219e-07,"ENSG00000173039/ENSG00000164104/ENSG00000142208/ENSG00000154451/ENSG00000101336/ENSG00000104312/ENSG00000137055/ENSG00000154589",8,"C1"
"2","GO:0071219","cellular response to molecule of bacterial origin","8/21","307/21273",0.0260586319218241,26.3973941368078,14.090112532163,2.96959587536789e-10,1.93617651073987e-07,1.06280273434219e-07,"ENSG00000173039/ENSG00000164104/ENSG00000142208/ENSG00000154451/ENSG00000101336/ENSG00000104312/ENSG00000137055/ENSG00000154589",8,"C1"
"3","GO:0071216","cellular response to biotic stimulus","8/21","334/21273",0.0239520958083832,24.2634730538922,13.4705002055151,5.78589044857342e-10,2.51493371497991e-07,1.38049315965962e-07,"ENSG00000173039/ENSG00000164104/ENSG00000142208/ENSG00000154451/ENSG00000101336/ENSG00000104312/ENSG00000137055/ENSG00000154589",8,"C1"
"4","GO:0002758","innate immune response-activating signaling pathway","8/21","385/21273",0.0207792207792208,21.0493506493507,12.4794703252578,1.77331230966885e-09,5.78099812952046e-07,3.173295712039e-07,"ENSG00000173039/ENSG00000101916/ENSG00000142208/ENSG00000154451/ENSG00000101336/ENSG00000198961/ENSG00000104312/ENSG00000154589",8,"C1"
"5","GO:0002218","activation of innate immune response","8/21","409/21273",0.019559902200489,19.8141809290954,12.0770840578172,2.85114050416945e-09,7.43577443487392e-07,4.08163272175837e-07,"ENSG00000173039/ENSG00000101916/ENSG00000142208/ENSG00000154451/ENSG00000101336/ENSG00000198961/ENSG00000104312/ENSG00000154589",8,"C1"
"6","GO:0032496","response to lipopolysaccharide","8/21","433/21273",0.0184757505773672,18.715935334873,11.7077403748465,4.45711537470440e-09,9.68679741435755e-07,5.31726044701577e-07,"ENSG00000173039/ENSG00000164104/ENSG00000142208/ENSG00000154451/ENSG00000101336/ENSG00000104312/ENSG00000137055/ENSG00000154589",8,"C1"
"7","GO:0002237","response to molecule of bacterial origin","8/21","467/21273",0.0171306209850107,17.3533190578158,11.2326948048482,8.04637462251913e-09,1.49892464396642e-06,8.22787179445565e-07,"ENSG00000173039/ENSG00000164104/ENSG00000142208/ENSG00000154451/ENSG00000101336/ENSG00000104312/ENSG00000137055/ENSG00000154589",8,"C1"
"8","GO:0002221","pattern recognition receptor signaling pathway","7/21","357/21273",0.0196078431372549,19.8627450980392,11.2983127760356,3.35754826342365e-08,4.94235654783428e-06,2.7129499939678e-06,"ENSG00000173039/ENSG00000101916/ENSG00000142208/ENSG00000154451/ENSG00000198961/ENSG00000104312/ENSG00000154589",7,"C1"
"9","GO:0032731","positive regulation of interleukin-1 beta production","5/21","97/21273",0.0515463917525773,52.2164948453608,15.892333195062,3.4111356541801e-08,4.94235654783428e-06,2.7129499939678e-06,"ENSG00000173039/ENSG00000101916/ENSG00000154451/ENSG00000104312/ENSG00000156515",5,"C1"
"10","GO:0032732","positive regulation of interleukin-1 production","5/21","112/21273",0.0446428571428571,45.2232142857143,14.7504452174033,7.03414408286811e-08,9.17252388406002e-06,5.03496629089507e-06,"ENSG00000173039/ENSG00000101916/ENSG00000154451/ENSG00000104312/ENSG00000156515",5,"C1"
"11","GO:0002429","immune response-activating cell surface receptor signaling pathway","7/21","433/21273",0.0161662817551963,16.3764434180139,10.1616654172505,1.2532406975524e-07,1.48565988146212e-05,8.15505908455153e-06,"ENSG00000130775/ENSG00000173039/ENSG00000107798/ENSG00000101336/ENSG00000198961/ENSG00000104312/ENSG00000154589",7,"C1"
"12","GO:0070673","response to interleukin-18","3/21","12/21273",0.25,253.25,27.4753896432277,1.81350623108576e-07,1.97067677111319e-05,1.08174055889326e-05,"ENSG00000142208/ENSG00000115607/ENSG00000104312",3,"C1"
"13","GO:0032611","interleukin-1 beta production","5/21","161/21273",0.031055900621118,31.4596273291925,12.1951386079635,4.30470033223847e-07,4.00952088088498e-05,2.20089941798659e-05,"ENSG00000173039/ENSG00000101916/ENSG00000154451/ENSG00000104312/ENSG00000156515",5,"C1"
"14","GO:0032651","regulation of interleukin-1 beta production","5/21","161/21273",0.031055900621118,31.4596273291925,12.1951386079635,4.30470033223847e-07,4.00952088088498e-05,2.20089941798659e-05,"ENSG00000173039/ENSG00000101916/ENSG00000154451/ENSG00000104312/ENSG00000156515",5,"C1"
"15","GO:0002679","respiratory burst involved in defense response","3/21","17/21273",0.176470588235294,178.764705882353,23.0485248283014,5.587617805786e-07,4.85750241249663e-05,2.66637200556806e-05,"ENSG00000105851/ENSG00000107798/ENSG00000101336",3,"C1"
