	FD21772173	FD21772179	FD21772189	FD21772205	FD21772244	FD21772261	FD21772298	FD21772337	FD21772351	FD21772578	FD21772697	FD21772699	FD21772702	FD21772766	FD21772802	FD21772880	FD21772908	FD21772934	FD21773059	FD21773106	FD21773116	FD21773174	FD21773221	FD21773259	FD21773309	FD21773313	FD21773369	FD21773537	FD21773589	FD21773630	FD21773653	FD21773675	FD21773737	FD21773746	FD21773783	FD21773819	FD21773832	FD21773841	FD21773846	FD21773847	FD21773965	FD21774021	FD21774042	FD21774045	FD21774113	FD21774123	FD21774318	FD21774401	FD21774408	FD21774415	FD21774498	FD21774517	FD21774522	FD21774524	FD21774545	FD21774702	FD21774708	FD21774709	FD21774719	FD21774760	FD21774779	FD21774818	FD21771986	FD21772050	FD21772081	FD21772250	FD21772292	FD21772346	FD21772347	FD21772392	FD21772426	FD21772472	FD21772506	FD21772806	FD21772808	FD21772863	FD21772902	FD21772906	FD21772910	FD21772976	FD21773016	FD21773025	FD21773044	FD21773104	FD21773140	FD21773306	FD21773308	FD21773335	FD21773336	FD21773352	FD21773450	FD21773461	FD21773511	FD21773545	FD21773644	FD21773669	FD21773744	FD21773752	FD21773775	FD21773858	FD21773873	FD21773934	FD21773988	FD21774007	FD21774037	FD21774064	FD21774070	FD21774163	FD21774168	FD21774169	FD21774233	FD21774370	FD21774444	FD21774492	FD21774523	FD21774611	FD21774623	FD21774626	FD21774642	FD21774681	FD21774695	FD21774821
Abiotrophia_defectiva	0	4.899545837	0	0	0	0	0	0	0	0	0	0	0	0	78.42506779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.41685136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia_uncl	0	1.100046836	0	0	18.50381682	0	0	0	0	16.27957142	0	0	0	0	619.5063749	0	0	0	0	0	0	0.832834139	0	0	0	7.042756152	0	0.125008443	0	0	0	0	0	0	0	0	69.93395422	0	0	0	0	0	0	94.66652846	0	0	0	0	0	0	0	0	1.046338665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.61804606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.660486178	0	0	0	0	0	0.049040075	0	6.35132378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422.9379681	0	0.438206699	0	0
Acinetobacter_baumannii	172.1196431	59.35592159	283.4037278	251.1963997	61.54136297	366.9845968	208.0931472	152.9313125	527.0341461	235.5259205	197.1167436	126.5564063	112.1270999	66.70728505	2.961949551	15.26367719	0	570.5442618	194.6484939	59.7936238	116.9761671	84.65519018	243.3970436	34.96116886	535.6647467	15.42775996	216.0643801	31.86369907	379.563323	84.54411508	133.2486866	146.4289593	260.5406656	242.2498855	141.5654356	64.94658658	57.15423229	241.7991181	215.8529194	178.9715305	238.4763032	85.20065821	589.2136887	5.360198127	272.5177058	117.6124045	242.2471324	995.1329081	78.19288505	1241.727481	685.4816997	851.4927296	198.3234986	312.6484237	15.83664877	44.47731336	113.5541834	597.7074513	408.501259	329.1960758	225.3116258	306.6066603	74.41820381	329.8997913	1149.392174	52.56153826	168.3805308	367.0319215	264.0965669	134.7231344	309.9284166	207.2790538	49.22019689	54.63170563	24.65069792	10.65490119	79.61114359	0	0	233.3399706	49.04358341	138.0805049	99.54280483	301.7335821	34.38969859	168.0161008	47.35166077	55.87107891	159.9107107	180.375089	71.57964197	51.79777831	243.7741919	6.656636558	259.1410302	98.53371013	184.527363	7.420266039	28.78848492	255.3357858	9.731390834	38.69155503	141.9975835	2164.970852	400.7493974	137.4032612	335.0682924	216.6227125	287.0124699	272.4011292	365.7718765	0.191010092	1239.71519	56.4692365	0	1388.121763	371.8842814	163.0562587	17.73311869	451.0742973	357.1299819	154.5164896
Acinetobacter_uncl	0	0	0	0	0	0	0	0	0	51.87128723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.5514288	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetaceae_uncl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.698768497	0	0	0	43.01925531	0	0	0	0	9.244420367	0	0	0	0.173175712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetes_uncl	0	57.69518941	0	148.8410978	218.0478454	0	0	0	0	0	0	0	0	0	598.2308037	1.143434554	185.7001161	0	0	50.7707121	0	2.414170553	497.7114674	0	0	70.51909237	0	3.578620064	0	0	980.500527	0	0	0	0	0	13.83060736	0	0	9.151111277	0	68.07980388	0	215.951937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333.2569705	0	0	0	0	0	18.84098326	1819.516794	45.72352526	25.23769414	0	40.64340619	65.163917	0	0	0	0	0	0	6.649684283	3.547076597	0	3.340738641	5.412396033	0	3.315222076	0.337605548	8.047205338	19.94679887	0	15.44966579	0	2.606695075	0	889.7811384	0.956809862	0	0	0	0	0	176.1037799	8.973393637	0	0	0	0.921243731	11.60640211	0	0	0	3.757221356	0	0	6.885363164	0	27.95048844
Aequorivita_sp._609	153.5136369	2.319999074	72.28357439	28.53271758	48.56065109	112.7760533	10.61815438	42.72706244	36.47591418	7.872314956	53.9936783	54.84108543	67.44146542	0	21.25277921	3.758659963	0	86.02931098	11.22216493	0	20.81040498	10.7968619	19.88605786	0	103.8612025	6.23426626	13.96945262	0.147646011	78.72875786	0	26.69085026	14.55506725	495.1034434	31.91251059	41.94613989	0	14.57042964	17.17753015	1173.778027	11.85504621	32.0699294	0.726125063	47.21258716	0.278999792	25.33831336	32.71421061	27.79274796	343.7424154	47.33964811	234.2764498	110.8346642	364.5082729	0	39.43391734	0	121.5358062	24.93887724	61.72108005	40.69132768	94.74099809	41.41965194	95.98456766	21.4526334	18.90302912	115.0764964	538.5849631	51.67284506	154.2982252	0	27.33715088	0	187.5243558	15.42213673	6.75329998	9.604457467	53.61714932	15.09911166	0	0	0	0	19.396493	192.5919366	74.32690382	1.263492593	9.299300542	87.55722324	3.249983238	15.40424703	66.6482632	17.97178456	34.43134013	42.71639468	2.798340747	85.01283785	7.115929091	34.03280357	1.569147731	7.608255251	36.05596937	3.092177963	7.401023743	103.4816089	2148.59158	507.3930852	82.46381321	15.1002025	50.09984353	38.07944364	596.7359487	392.2407024	0	74.87228904	17.91889877	0	350.9940732	189.308477	26.5110386	89.39033908	18.30470429	40.71387782	196.4650716
Aggregatibacter_uncl	0	1.783266258	0	0	0	0	60.08040982	0	71.31145094	0	0	0	0	0	34.9474468	1.557883499	0	6.087730108	1.292241279	43.08523733	11.72777719	61.19733931	0	0	1.636975056	1.057436917	0	0	204.6358956	0	0.379831568	277.1660526	0	0	0	0	21.44099185	129.5948416	0	29.44739013	1884.464685	0	311.1348213	0	175.0261839	0	1160.072738	0	70.2277702	5521.771184	78.63927299	0	0	0	0	0	0	0	0	0	0	0	0.839437438	0	0	0	151.4916602	0	0	0	0	198.946485	0	129.1656861	11.9135148	0	0	0	0	0	2.136777194	34.97208035	4.761596437	0	0	52.62634072	27.24340111	0	0	155.4140679	3.239736998	73.24453814	9.389176889	8.197578339	160.812945	36.56577652	0	3.686123127	1.723702303	0	437.4332018	0	0	0	0	0	0	7.106542144	48.20326755	0	86.01953596	0	0	0	0	0	1.816426701	0	0	0.895499055	164.7149013	0
Alloprevotella_rava	0	26.06212875	0	0	1.6107004	0	0	0	0	0	0	0	3.738552496	0	0.487112222	0	0	0	0.28917992	555.3367547	82.02497603	103.9321047	0	0	90.21479562	15.85992412	13.48772417	0	172.608338	0	0	3.923695313	0	0	0	0	0	0	0	45.21244329	0	0	0	0	0	0	0	0	0	0	1.061296481	0	0	0	5.937168443	0	0	0	0	0	0	0	0	0	0	0	1.901049764	0	0	0	0	0	12.51698591	39.65496291	0	0	1.937782595	2.477423285	0	0	11.58653409	0	0	75.09387045	0	7.34865737	0	230.2739884	6.820766404	0	5.597318447	0	41.13268344	62.61225988	0	47.09937457	246.6460816	42.01320031	3.765937522	0	4.682062785	10.43520465	0	0	0	0	2.078533877	0	76.81278546	0	0	0	52.89482014	0	0	0	0	0	0	1.556177041	0	0
Alloprevotella_sp._Lung230	0	111.0444216	0	0	0	0	0	0	0	0	421.2227666	0	3.624507043	1006.186186	10.53948075	266.1268323	123.3607431	303.6289701	328.680462	2560.474117	162.2976718	713.4582756	116.9394608	0	24.45537788	115.3063499	1.050608168	103.0405364	2717.620216	0	447.5930418	505.8034762	3431.134354	23.05102678	0	0	606.41312	0	0	26.25614137	925.285782	928.829933	226.634412	7.849269765	0	0	0	0	0	0	4.310736632	0	0	41.06688494	734.6593639	0	421.0307834	0	1468.478565	0	26.95868676	0	1.300475617	13.86244197	0	0	4.357422174	0	0	2.084459928	0	25.94369789	11463.41749	281.6021629	55.59081252	302.1565379	112.2327961	323.8137946	0	0	1051.407307	429.8728993	2086.383847	0	43.44892277	322.9532619	0	61.51957075	10.5325006	0	7811.824465	451.8210604	78.03895214	74159.49032	0	208.2632806	5.534235279	7465.624782	0	11423.13694	71.52226236	0	0	0	0	0	1485.087347	200.1467021	2.714463204	0	0	0.416247425	76.34299507	199.5229307	0	0	34.89149291	9.251706893	0	169.1446693	446.428658	0.134611137
