	FD21771986	FD21772261	FD21772292	FD21772346	FD21772351	FD21772392	FD21772472	FD21772506	FD21772802	FD21772806	FD21772808	FD21772863	FD21772902	FD21772908	FD21773044	FD21773104	FD21773140	FD21773259	FD21773336	FD21773450	FD21773537	FD21773545	FD21773644	FD21773744	FD21773746	FD21773752	FD21773841	FD21773858	FD21773934	FD21774007	FD21774168	FD21774169	FD21774233	FD21774370	FD21774498	FD21774523	FD21774545	FD21774611	FD21774623	FD21774695	FD21774760	FD21774818
Amino acid transport and metabolism	2315.007272	1986.598448	16618.81277	383.5210433	19862.25697	2482.752729	351.5827754	18620.03941	18257.80645	22363.76504	12817.29816	44233.06279	55934.12452	88117.32175	19556.6082	6601.545514	14231.80911	9304.647997	33552.17532	18035.73252	38027.18153	30982.30399	17903.35484	4403.959965	434.3562217	31930.01057	33557.62909	999.8362475	14764.79161	550.5883515	13192.02151	9024.39537	546.7614583	69265.5439	3675.881479	118144.224	25915.94554	112.9550285	10813.80937	2101.326236	3704.398066	2142.437595
Carbohydrate transport and metabolism	5533.568599	7523.621583	17186.49941	6447.107133	38164.69329	7356.010852	1638.235251	33827.36831	49232.98164	40964.37548	14932.57391	65896.06625	45259.2319	73893.73367	33026.5279	3270.741841	33315.53876	22666.3962	9030.93021	37365.5165	51865.38013	37097.42553	28661.49857	7781.200693	2745.040548	27648.64661	79561.70977	17299.95963	16488.63272	5435.725845	10732.49001	47344.42359	24842.10504	94264.22264	10999.25523	29527.51373	39667.29454	357.1129822	30202.71849	8795.762712	11620.04485	2291.866728
Cell cycle control, cell division, chromosome partitioning	299.2263249	19.41158233	1319.784355	359.7523019	1366.723733	418.7518452	345.1041291	1910.224209	9913.915232	5119.718684	2498.039417	8559.508729	5675.102685	2730.409016	5769.974561	1574.252512	3940.933104	211.8239913	4439.248123	6312.350232	15572.31898	1938.453105	1131.839802	1280.474743	159.6106496	6333.581863	2347.871467	199.2528834	1750.17935	27.04453487	3934.531119	123.5011286	81.30672891	9302.544755	1562.116646	36.50122941	4644.862726	35.71720752	3969.037581	26.68573949	1613.6115	368.0641198
Cell motility	34.86981876	0	11.45561195	15.03666883	129.8251678	129.8088379	0	176.4897394	12.71212283	810.4442004	351.0196534	26.5442717	2591.693817	752.0532531	406.113678	46.84301464	521.0271457	100.5681072	178.7072239	392.3456488	21.88838421	528.073337	0	984.8016553	16.0480682	886.6369234	49.05003845	0	408.3165336	23.16400262	161.3686597	27.2869671	0	11287.59092	0.575882268	122.3405242	486.0524906	10.43830004	2007.600004	10.89827613	0	0
Cell wall/membrane/envelope biogenesis	1203.906876	24.04637025	26489.0909	71.90686702	58211.64394	4482.096978	930.2577416	17086.06821	14638.90155	18624.10678	14146.43514	37737.03074	26592.12522	31921.26743	36220.4833	1691.164006	22304.94642	134352.7236	19056.6504	30637.55931	45824.55228	10370.6259	64752.50563	11302.01021	457.5502732	31626.59386	121059.1715	11023.71733	14586.05736	191.0673679	17240.20861	234.3380856	506.25329	49614.71379	6251.863367	669.7556045	20683.9835	85.06880499	28210.24426	1837.969654	6224.269428	22.11086415
Coenzyme transport and metabolism	1077.743898	10.78149598	3087.207392	175.3245156	2689.029108	1607.431295	0	7947.025025	5715.709833	10538.66815	7229.23322	7000.243058	16243.70693	25112.6216	4743.144771	337.0611674	6698.433875	2415.308911	8258.143233	7522.231027	11107.64371	11064.8187	3894.837146	3682.621019	275.0208656	11233.69113	6269.250373	5240.549572	10947.41584	161.9491217	4832.64195	263.5818917	3452.881183	33601.81079	878.6176128	977.5196603	7094.238883	191.15609	3963.205213	18.25529881	531.2004728	225.8284514
Cytoskeleton	1578.077997	266.2358888	2909.802171	1769.974203	7857.2046	3082.549462	3520.77195	1807.706252	12.48217156	2472.925332	286.2190017	1764.627922	3528.80564	0	4537.791152	1842.442103	974.6479391	0	912.5265877	3301.773906	971.7333093	514.6487034	2569.630759	7424.257178	3581.560254	197.7677433	1585.600327	13096.50418	367.8821686	8315.766108	1456.979516	2657.933379	2033.668685	0	22524.51344	0	1199.127241	3370.821754	4192.117117	3592.468115	5975.503481	1845.910089
Defense mechanisms	1231.06195	0	2491.031038	4.962100715	1975.182884	4137.158166	73.87742714	4255.234866	2326.173107	12105.46804	2485.7851	14034.96751	11197.17006	9791.478516	2149.080593	365.8980409	4756.772784	236.6638548	8957.037539	12793.68539	5775.07231	11052.31083	3109.884277	554.4311417	1681.8471	9775.465462	4436.588546	2726.484124	3072.116213	2408.835663	6835.53433	86.02588481	177.0226851	17913.31168	110.03846	254.9604374	2206.604486	11.85740428	3142.735561	2649.931355	2324.528175	18.95194206
Energy production and conversion	10191.5943	249.9753255	43326.14352	601.2583963	39355.49155	9438.222475	1196.260343	31948.10997	22815.29925	42096.33108	25969.34492	31992.36337	46831.60361	129451.8736	23703.51375	8505.15544	29929.25383	797.3518235	47012.7226	34690.27263	43660.99781	50366.38366	40792.96587	11247.18165	2702.756234	52419.87782	53885.20151	14188.22523	26595.62667	159.7504565	40828.97677	124.5625651	3943.850369	53443.91966	8494.163562	10087.56972	56928.13983	30.59318497	40425.56564	8266.396212	5180.429298	45.66081796
Extracellular structures	0	0	0	0	0	0	0	0	0	25.42509811	0	0	270.7328032	0	0	0	49.39537301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1757.624918	0	0	0	0	46.72125808	0	0	0
Function unknown	831.17068	1640.763997	17558.41184	68.55533883	17610.97965	5181.517307	0	3269.901729	64690.2629	11808.85112	3381.177433	16098.57576	14704.47418	11321.70362	12041.48868	1542.109204	6315.570612	875.5441677	9047.010936	7396.66911	70242.12589	3990.7088	21371.64824	232.0994113	118.9830109	16706.81874	53597.07375	809.0511626	1955.781787	0	13118.55268	100.1054548	394.3873625	37820.77308	5730.80258	517.542619	10119.02257	802.8724385	1267.084462	30.42021352	2664.48318	102.8375873
General function prediction only	1593.649509	12047.41628	1953.995622	45.25662624	772.3382104	1335.586777	76.6932146	4002.750503	11150.23214	9422.65909	5157.00614	14938.08626	12521.02753	15783.37162	8541.773184	106.511612	6073.956203	386.9091943	7983.799175	7536.985826	24771.27907	6165.200136	1984.935082	1569.323299	426.6431414	10780.48571	2282.270116	47.24357647	7276.347744	65.15431682	4952.484223	77.48249014	14653.35851	33582.44083	538.3925955	247.3782364	6308.926295	3414.734588	4423.971931	140.2640979	9415.746489	102.7145263
Inorganic ion transport and metabolism	530.294482	1208.601043	18207.21538	54.3196965	23000.30929	3839.584655	296.5190518	2983.520435	30333.61703	24569.88306	4635.06276	36032.49751	20029.26189	14853.85605	21682.60115	9163.419631	13002.23812	39516.37411	21975.4213	29382.98881	45881.382	9915.534867	23475.328	2770.696108	61.35310351	23517.31716	45672.41077	1524.888552	4438.841046	4837.718275	13939.21723	8433.767144	201.4430041	50188.51177	3915.331303	18582.71514	16332.80865	5168.315891	11500.12449	673.521144	2138.086148	1072.128592
Intracellular trafficking, secretion, and vesicular transport	623.1182561	0	9214.340322	62.74061972	11393.08858	1454.902004	54.31462522	7011.320452	6247.965991	6934.688467	3510.440718	7192.849897	11061.91889	33881.70492	7668.274321	179.1831762	11279.94296	0	11849.13256	5393.739486	7174.882542	13298.89185	10209.56	4192.051363	312.306523	18646.96762	22896.21418	715.0577501	3980.110037	19.18105194	7771.339975	27.49767727	148.251397	13365.10337	3118.369669	0	11061.8264	42.94096651	13776.97129	2620.100964	441.0148802	16.00278781
Lipid transport and metabolism	1653.558203	21.93076679	22251.32082	14.2745363	17190.18254	3331.041955	413.9665938	15997.90839	8464.611866	11320.88958	11126.49263	53632.97598	14670.28505	29778.68649	23469.75435	3480.063063	15578.39894	2121.298711	11511.24686	16782.85138	44431.97545	17193.447	12260.35158	20209.07572	1566.483143	19003.86438	42844.21183	2838.545806	12669.04656	46.72814372	6736.766565	30.79712338	545.9872742	31030.94574	3190.295414	117.1084297	21038.77624	609.958669	7934.023426	1251.370926	4046.67344	7.177451743
Mobilome: prophages, transposons	0	0	0	0	0	0	0	0	648.555075	44.36016242	0.93889754	146.7445918	1229.548286	233.3026897	129.2341523	0	1329.042915	0	522.2276934	111.0917174	1807.514359	12.38190158	0	0	0	825.6077118	2.377355624	0	0	0	554.0933501	0	0	6105.756048	0	0	508.3491039	0	138.46586	0	0	0
Nucleotide transport and metabolism	1407.587565	0	3486.788668	65.18378412	3504.074674	3202.637707	238.3386959	7566.428157	15795.35093	13966.84163	15573.11498	33258.66549	15071.92949	24379.25251	11264.11491	520.7153137	11207.05559	123.4276551	11584.09201	11901.64328	27807.36131	10872.83794	4267.154269	2529.615721	763.8704894	16825.40737	6762.410534	1123.95419	12548.98229	29.17527492	8948.287092	9340.047545	64.79062119	22680.08891	5376.034524	105.9586997	15275.51086	4038.603202	7788.1994	348.798961	15946.12347	2511.43446
Posttranslational modification, protein turnover, chaperones	5486.74099	2603.294038	14602.42958	309.2693296	12166.17299	4767.516622	2437.945146	27184.32199	20851.78639	25929.13767	13737.69065	26368.69746	36890.65312	35853.75932	18885.61789	8893.706333	34974.71599	1019.281011	40952.68688	25982.3766	33368.49527	41624.50206	22382.38008	12139.8476	8030.693727	34931.79976	35790.87524	6495.367148	28565.32051	69.91962309	24341.14061	141.2314689	143.713268	31836.04119	8630.200633	97.61027869	39949.90817	1661.503665	25784.59426	4995.58177	7670.608308	1500.152553
Replication, recombination and repair	1550.60263	17.9842601	4699.065341	470.0461005	13054.86186	3267.557066	404.1084121	7250.56323	43680.81806	10042.36438	7316.431633	61231.27443	23150.78457	15219.39699	29048.90765	1600.059401	8701.734393	1456.035458	10225.06334	11602.42461	36274.6017	12316.4549	3828.651475	2507.092058	395.9396611	12784.54576	19143.52437	318.6249218	12524.84601	50.94685539	5129.156682	15.33239701	156.782724	32397.76865	3618.659778	143.903703	13602.67938	27.1744458	30405.92348	1005.706267	922.9119541	641.4398963
RNA processing and modification	0	0	0	0	0	0	0	0	0	0	0	0	92.59620304	0	0	0	6.531403722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477.7754142	0	0	0	0	0	21.21176672	0	0
Secondary metabolites biosynthesis, transport and catabolism	27.16236634	38.91139913	1045.246096	0	867.2122914	137.5469063	0	459.8530743	1060.897405	889.669676	329.9470539	1430.089757	3207.642654	1791.26252	636.5625355	16.20884965	1697.106853	146.7605543	1495.176423	2537.541905	2300.977272	1505.675493	518.0378744	5716.894193	0	2687.653949	5464.49077	89.7817698	30.77985227	8.537789486	2194.395211	17.69415755	25.61696934	7442.158509	0	141.5001237	764.6439195	0	2431.388593	0	1080.849764	0
Signal transduction mechanisms	348.6818639	8.24711735	3023.407677	125.2826985	2990.049315	889.2397212	54.51946528	4778.832164	6369.859772	5919.592646	2909.011168	50029.67595	13311.63361	31800.14389	4979.806161	1247.863263	7861.99282	413.5574664	9776.586993	4213.34332	18126.23437	4367.102309	4835.955193	195.5837292	39.74983047	5237.942084	12103.38107	859.8492446	5947.505714	219.172316	6262.167308	204.4814537	3532.450557	25989.11405	248.566063	545.3577886	5006.079331	66.85430101	12315.32206	14.00916881	763.3850585	58.68799976
Transcription	2867.069892	27.97551572	14946.33997	457.4708642	15496.20211	7876.811688	459.558651	35271.58346	60792.34558	23444.3654	12957.49914	40957.01749	40132.89696	48962.53973	25473.54486	2304.894553	37075.04479	790.269733	18618.90662	24215.9462	44272.41024	15972.01062	14370.62222	8826.946643	2193.846461	30025.49752	23184.79203	4305.302759	22954.70071	442.4448855	16955.72874	225.103049	235.4575794	47542.84353	2626.111926	29582.89996	30725.30127	13887.39773	61466.42895	2077.780299	11542.58768	44961.96833
Translation, ribosomal structure and biogenesis	84042.02995	48096.48998	407175.2789	48854.62085	244493.4554	114069.4916	498227.0009	379336.5288	1186618.756	275627.8213	330364.409	289306.5909	464269.8947	243395.7957	277886.886	65473.67392	655997.0094	43965.5599	199207.3685	397553.5853	440919.4777	383003.9274	276907.9522	211607.4651	56388.88556	393882.4158	410669.0828	208267.7795	264458.7977	2488.189701	270106.6088	24840.1266	25199.97206	59855.10083	97115.4671	1418.120498	351026.1081	88985.26866	392522.9654	122722.1548	386297.1716	206872.9265
