# Pathway	Plrevelo-FD21771986_Abundance	Plrevelo-FD21772050_Abundance	Plrevelo-FD21772081_Abundance	Plrevelo-FD21772173_Abundance	Plrevelo-FD21772179_Abundance	Plrevelo-FD21772189_Abundance	Plrevelo-FD21772205_Abundance	Plrevelo-FD21772244_Abundance	Plrevelo-FD21772250_Abundance	Plrevelo-FD21772261_Abundance	Plrevelo-FD21772292_Abundance	Plrevelo-FD21772298_Abundance	Plrevelo-FD21772337_Abundance	Plrevelo-FD21772346_Abundance	Plrevelo-FD21772347_Abundance	Plrevelo-FD21772351_Abundance	Plrevelo-FD21772392_Abundance	Plrevelo-FD21772426_Abundance	Plrevelo-FD21772472_Abundance	Plrevelo-FD21772506_Abundance	Plrevelo-FD21772578_Abundance	Plrevelo-FD21772697_Abundance	Plrevelo-FD21772699_Abundance	Plrevelo-FD21772702_Abundance	Plrevelo-FD21772766_Abundance	Plrevelo-FD21772802_Abundance	Plrevelo-FD21772806_Abundance	Plrevelo-FD21772808_Abundance	Plrevelo-FD21772863_Abundance	Plrevelo-FD21772880_Abundance	Plrevelo-FD21772902_Abundance	Plrevelo-FD21772906_Abundance	Plrevelo-FD21772908_Abundance	Plrevelo-FD21772910_Abundance	Plrevelo-FD21772934_Abundance	Plrevelo-FD21772976_Abundance	Plrevelo-FD21773016_Abundance	Plrevelo-FD21773025_Abundance	Plrevelo-FD21773044_Abundance	Plrevelo-FD21773059_Abundance	Plrevelo-FD21773104_Abundance	Plrevelo-FD21773106_Abundance	Plrevelo-FD21773116_Abundance	Plrevelo-FD21773140_Abundance	Plrevelo-FD21773174_Abundance	Plrevelo-FD21773221_Abundance	Plrevelo-FD21773259_Abundance	Plrevelo-FD21773306_Abundance	Plrevelo-FD21773308_Abundance	Plrevelo-FD21773309_Abundance	Plrevelo-FD21773313_Abundance	Plrevelo-FD21773335_Abundance	Plrevelo-FD21773336_Abundance	Plrevelo-FD21773352_Abundance	Plrevelo-FD21773369_Abundance	Plrevelo-FD21773450_Abundance	Plrevelo-FD21773461_Abundance	Plrevelo-FD21773511_Abundance	Plrevelo-FD21773537_Abundance	Plrevelo-FD21773545_Abundance	Plrevelo-FD21773589_Abundance	Plrevelo-FD21773630_Abundance	Plrevelo-FD21773644_Abundance	Plrevelo-FD21773653_Abundance	Plrevelo-FD21773669_Abundance	Plrevelo-FD21773675_Abundance	Plrevelo-FD21773737_Abundance	Plrevelo-FD21773744_Abundance	Plrevelo-FD21773746_Abundance	Plrevelo-FD21773752_Abundance	Plrevelo-FD21773775_Abundance	Plrevelo-FD21773783_Abundance	Plrevelo-FD21773819_Abundance	Plrevelo-FD21773832_Abundance	Plrevelo-FD21773841_Abundance	Plrevelo-FD21773846_Abundance	Plrevelo-FD21773847_Abundance	Plrevelo-FD21773858_Abundance	Plrevelo-FD21773873_Abundance	Plrevelo-FD21773934_Abundance	Plrevelo-FD21773965_Abundance	Plrevelo-FD21773988_Abundance	Plrevelo-FD21774007_Abundance	Plrevelo-FD21774021_Abundance	Plrevelo-FD21774037_Abundance	Plrevelo-FD21774042_Abundance	Plrevelo-FD21774045_Abundance	Plrevelo-FD21774064_Abundance	Plrevelo-FD21774070_Abundance	Plrevelo-FD21774113_Abundance	Plrevelo-FD21774123_Abundance	Plrevelo-FD21774163_Abundance	Plrevelo-FD21774168_Abundance	Plrevelo-FD21774169_Abundance	Plrevelo-FD21774233_Abundance	Plrevelo-FD21774318_Abundance	Plrevelo-FD21774370_Abundance	Plrevelo-FD21774401_Abundance	Plrevelo-FD21774408_Abundance	Plrevelo-FD21774415_Abundance	Plrevelo-FD21774444_Abundance	Plrevelo-FD21774492_Abundance	Plrevelo-FD21774498_Abundance	Plrevelo-FD21774517_Abundance	Plrevelo-FD21774522_Abundance	Plrevelo-FD21774523_Abundance	Plrevelo-FD21774524_Abundance	Plrevelo-FD21774545_Abundance	Plrevelo-FD21774611_Abundance	Plrevelo-FD21774623_Abundance	Plrevelo-FD21774626_Abundance	Plrevelo-FD21774642_Abundance	Plrevelo-FD21774681_Abundance	Plrevelo-FD21774695_Abundance	Plrevelo-FD21774702_Abundance	Plrevelo-FD21774708_Abundance	Plrevelo-FD21774709_Abundance	Plrevelo-FD21774719_Abundance	Plrevelo-FD21774760_Abundance	Plrevelo-FD21774779_Abundance	Plrevelo-FD21774799_Abundance	Plrevelo-FD21774809_Abundance	Plrevelo-FD21774818_Abundance	Plrevelo-FD21774821_Abundance	Plrevelo-NT1_J_Abundance	Plrevelo-NT1_M_Abundance	Plrevelo-NT2_J_Abundance	Plrevelo-NT2_M_Abundance	Plrevelo-NT3_J_Abundance	Plrevelo-NT3_M_Abundance	Plrevelo-NT4_J_Abundance	Plrevelo-NT4_M_Abundance	Plrevelo-NT5_J_Abundance	Plrevelo-NT5_M_Abundance	Plrevelo-Tlib1_J_Abundance	Plrevelo-Tlib1_M_Abundance	Plrevelo-Tlib2_J_Abundance	Plrevelo-Tlib2_M_Abundance	Plrevelo-Tlib3_J_Abundance	Plrevelo-Tlib3_M_Abundance	Plrevelo-Tlib4_J_Abundance	Plrevelo-Tlib4_M_Abundance	Plrevelo-Tlib5_J_Abundance	Plrevelo-Tlib5_M_Abundance
UNMAPPED	474143.4029526265	5716.4126625251	20236.6881432614	451799.3001949020	959983.5267440741	0.0000000000	430239.5224771908	903560.2361349387	349665.4236763501	0.0000000000	128794.5136072710	31715.3885842280	0.0000000000	268691.9502692801	0.0000000000	375555.1570118594	81972.8628198668	0.0000000000	0.0000000000	545014.9570617586	91391.5811360284	0.0000000000	99608.7678094482	0.0000000000	0.0000000000	1221023.4292093359	105453.9512627568	2132030.0498567056	41816.8444982585	597391.6065024310	466705.0972218303	129386.7944960300	57279.0341796994	0.0000000000	10539.2788759029	0.0000000000	610203.2935225047	607192.1002561479	554917.1125184789	188639.0307582113	12051.0968009751	0.0000000000	740349.1643808453	624026.7987715770	812111.1651199195	460143.1276986969	0.0000000000	1525601.6484746959	0.0000000000	36999.4941371192	1422915.9425422885	848481.7752302302	1079733.6088683645	63051.9501298239	473653.5568367627	691137.3882423186	823639.3913593438	24273.7304579241	701090.2013669072	161365.8469907079	78388.8467963324	0.0000000000	294815.2939424137	785870.9078185231	1264904.7567188928	328436.4683867607	0.0000000000	36239.3732799054	5261.0242144969	1373573.2424007943	2404519.3820753396	0.0000000000	0.0000000000	564062.9980050168	661477.1108991805	71284.0011745137	193937.6613139543	549122.8906146094	2773354.2531835102	1817773.7691688910	0.0000000000	179503.3666559490	276935.2650987761	1399621.0343715954	129664.5243543843	988618.9239594636	1212629.9455874427	1486277.0000000000	627337.5158708579	24254.3881745115	0.0000000000	318467.4620928866	379124.1046926376	0.0000000000	222328.8459344026	0.0000000000	710660.8176718709	20860.1542084809	0.0000000000	76827.8418796299	12961.6791296538	0.0000000000	1442047.5191891512	352931.7789413015	860028.6224062223	0.0000000000	7699.9679093399	240397.9592234748	57152.1455263173	1810099.6422909521	685800.7088146099	0.0000000000	880031.2411312303	72142.2629341256	144080.5637863254	858985.2823570708	77578.0294467580	77308.2198238909	6351.6394530643	0.0000000000	5389.1226638480	2149181.7124322373	283.5788007511	454695.5533227908	0.0000000000	1427546.0000000002	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
UNINTEGRATED	255235.8786894862	3270.4953625771	12461.1946258220	604286.7483717583	1786143.6552227114	0.0000000000	543496.6556069683	902405.7834930371	177551.5397484003	0.0000000000	101832.6633993501	29806.0920434419	0.0000000000	118202.2889660482	0.0000000000	451710.7305778310	61662.5429565599	0.0000000000	0.0000000000	456597.0994273087	76972.1726513262	0.0000000000	187176.9639030045	0.0000000000	0.0000000000	2748047.8480156208	16495.7570478137	3965791.5248951036	17313.8710984318	1109785.5083061138	398083.8090907412	82693.9556666407	23367.7114744615	0.0000000000	7728.3728747907	0.0000000000	85809.0194388163	741403.9251371520	385770.3276161623	207081.1905518943	8508.2813748372	0.0000000000	762028.7117773743	772421.8726366687	788652.4989862540	86473.8770933969	0.0000000000	1922009.7728369902	0.0000000000	22645.1231273894	3022083.0601224951	1364078.4837989213	1230224.2338873292	57851.1128772852	522330.1942333910	581035.5346856578	779357.3763245579	18188.8066878620	1918239.9660400185	111659.5835628346	73280.6527144806	0.0000000000	369197.0324176087	792815.8458479195	1570399.0195228509	361505.4561745747	0.0000000000	20656.9735749580	2810.7328730975	2109013.5354350102	6734188.8603488831	0.0000000000	0.0000000000	486599.6726328172	1160214.2056867585	33780.4059395057	178914.6353977882	186440.9179743256	6478653.4597441405	3290915.5603422918	0.0000000000	125816.0466885726	130049.6877331585	2551632.0841309261	46287.8480908626	430599.6443224307	3435729.5412238063	227890.1348138273	571378.5924708158	15593.5330518505	0.0000000000	120199.2266796704	392763.0610826305	0.0000000000	35331.2538382261	0.0000000000	2023695.0718735673	10116.5638080030	0.0000000000	31948.2366896380	8398.8751261573	0.0000000000	773310.2503073544	147287.7816309231	698687.1882361397	0.0000000000	5044.4796672415	33218.3586683218	32131.3666463439	514721.1175193976	673322.0738179612	0.0000000000	416128.4909973595	49300.7326086369	108833.5932257736	1163476.8659066125	73138.5165579646	45895.9574482156	6589.7903705576	0.0000000000	2670.5601773299	5429467.7320286650	126.9733398179	545696.2818096224	0.0000000000	107288.1129091029	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
UNINTEGRATED|g__Porphyromonas.s__Porphyromonas_endodontalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292585.8165997091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Prevotella.s__Prevotella_salivae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1220698.4237760433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_anginosus_group	0	0	0	0	6837.3489562421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1988.2595262311	0	0	0	2724.2639651455	0	0	0	0	0	0	0	0	0	0	0	0	0	5800.2277713709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_milleri	0	0	0	0	2756.7127010867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4769.0860678733	0	0	0	9238.6905537935	0	0	0	0	0	0	0	0	0	0	0	0	0	3816.3797849476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_viridans	0	0	0	0	4755.6325806463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2692.0276370200	0	0	0	1809.9567438564	0	0	0	0	0	0	0	0	0	0	0	0	0	4014.7468696801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|unclassified	236650.6347162465	3179.8813847080	12444.8724234656	604286.7483717583	1705803.2630886475	0	575949.7642371226	926262.6120040097	177551.5397484003	0	88390.3403303505	29776.1817284682	0	118202.2889660482	0	437494.7441480909	57661.3310988981	0	0	457130.1560002202	76972.1726513262	0	182904.0733176599	0	0	2705829.6699054004	16495.7570478137	3409986.8420423032	17313.8710984318	942466.5796734811	275435.5862493106	62861.9698536215	23367.7114744615	0	7728.3728747907	0	85809.0194388163	737849.0933619079	357246.1582950702	204684.5005035336	8508.2813748372	0	664530.4878927489	666340.6557416103	540859.3077813764	86473.8770933969	0	1796003.6544498103	0	22418.5407532110	2617733.3572496930	1209286.5021929874	1207872.6814126729	57746.5475674971	509483.3592860468	492496.0711750506	757086.3190834317	17814.0967730723	1891228.5487171654	56304.9498370227	73212.4774661086	0	348751.8877266784	770072.2309964747	754617.5076581840	360359.3232680943	0	18145.7848030818	2810.7328730975	1637168.9769593577	6496127.1308594719	0	0	455793.7861788356	1149611.5532045157	33780.4059395057	177006.3303003958	186440.9179743256	4798431.2960680900	2283034.4643180370	0	125816.0466885726	130049.6877331585	2215405.8139263163	46287.8480908626	429791.0631359079	3210528.9116148804	227890.1348138273	560486.5404183876	15593.5330518505	0	104764.3105553884	361854.1821204012	0	35331.2538382261	0	2005806.7713739653	10116.5638080030	0	31948.2366896380	8207.6882820293	0	773310.2503073544	147287.7816309231	347422.9601885856	0	5044.4796672415	33218.3586683218	32131.3666463439	514600.8255941167	760306.3437650409	0	408554.1952052250	49300.7326086369	108833.5932257736	907104.3154575141	73138.5165579646	43403.8674803579	6418.3328652094	0	2022.6488029398	3362021.5132840611	126.9733398179	295524.1149964613	0	107288.1129091029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	0	0	0	0	243.1289130372	0	0	0	0	0	0	0	0	0	0	80.7554501490	0	0	0	0	0	0	0	0	0	26.7248829766	0	1471.9464294282	0	271.1802807010	77.9462560298	0	0	0	0	0	0	125.5019916500	0	0	0	0	158.6572307226	0	0	0	0	850.0417212377	0	0	539.1487995062	690.4416645076	0	0	0	0	0	0	324.2865199241	0	0	0	0	193.9961588812	270.3601003712	0	0	0	0	0	0	0	0	0	203.5758899513	0	0	0	2604.6671582907	1107.3040232839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439.1024549849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2115.3314562390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|unclassified	0	0	0	0	243.1289130372	0	0	0	0	0	0	0	0	0	0	80.7554501490	0	0	0	0	0	0	0	0	0	26.7248829766	0	1471.9464294282	0	271.1802807010	77.9462560298	0	0	0	0	0	0	125.5019916500	0	0	0	0	158.6572307226	0	0	0	0	850.0417212377	0	0	539.1487995062	690.4416645076	0	0	0	0	0	0	324.2865199241	0	0	0	0	193.9961588812	270.3601003712	0	0	0	0	0	0	0	0	0	203.5758899513	0	0	0	2604.6671582907	1107.3040232839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439.1024549849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1621.5844939188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
