ID,21ECH093332,17ECH020301,FD21774233,FD21772261,FD21772472,FD21774611,FD21773644,21ECH093447,FD21774695,17ECH017599,FD21772351,21ECH093484,21ECH093159,21ECH093317,19ECH009170,FD21773746,21ECH093428,19ECH043187,FD21773336,21ECH093183,19ECH005661,FD21773537,18ECH023465,21ECH093322,FD21773545,19ECH026348,18ECH023485,19ECH018957,FD21772908,19ECH010451,21ECH093500,19ECH020284,17ECH021600,21ECH093421,21ECH093420,21ECH093414,18ECH022383,21ECH093131,21ECH093404,FD21773044
Alloprevotella,3.913945556,3.392902164,1.108608611,0,2.626526483,0,1.346318975,3.666657556,3.050529669,3.681569883,0.788735613,3.685048872,3.428610419,3.50441093,3.694714966,1.907114015,3.215442363,3.641804215,2.729575505,3.567625317,3.74283228,3.034856294,3.72688199,3.994444297,4.88843472,3.934236936,2.323588688,3.293412453,2.616829349,3.344848097,3.108998389,3.82368327,4.152462073,3.459198981,3.033795715,2.90037587,3.10629786,3.243369546,3.199093022,4.182629116
Klebsiella_pneumoniae,2.67706156,3.806603683,4.397193009,4.885925033,4.525926273,4.918516882,4.648088586,4.457764939,4.722471505,4.573725706,4.639194594,4.221162777,3.920714868,4.469465052,4.297096447,4.692808713,4.495224603,4.534282363,4.353891386,4.447995679,4.601607135,3.494444619,4.174244141,4.07254587,2.667899932,4.182550403,3.261687355,4.54808807,2.819621799,4.637226873,4.088451906,4.380682467,3.876234194,4.369758074,3.631390559,4.679876387,4.503403042,4.423245024,4.194031412,4.0259454
Paracoccus,3.602966391,4.253748906,4.552598471,4.586723346,4.372854818,4.596539789,4.284934041,5.090617304,4.373791961,4.869082229,4.19552059,4.463012379,4.203926708,5.047280466,4.509623884,4.231070778,4.920090109,4.902694394,3.890398176,4.860960353,4.553453741,3.383099028,4.813247806,4.635631786,3.139023955,4.561648034,3.490474222,4.669462174,3.33404966,4.909065453,4.555490365,4.795348477,4.492291986,4.959093655,4.339384759,4.770906253,4.764608539,4.808193462,5.04238362,3.977783797
Streptococcus,4.988525637,5.325409984,4.648167485,4.580855045,4.463773953,4.258508872,4.463173874,4.888041449,4.249849398,4.842819091,4.114898684,4.680062431,5.379954161,4.971237942,4.684917672,4.478061403,5.045584196,4.844481297,5.052861323,5.053306232,4.577514529,5.552038259,4.927239102,4.856748131,4.562704311,5.269610919,5.592909259,4.976547667,4.513949828,5.003078978,5.095007735,5.110019569,5.058138977,4.901933918,4.124741582,4.742203212,5.009652572,4.829076283,4.954002287,5.106962982
Brussowvirus,0,2.330550245,3.664540364,3.795838907,3.206603733,3.418677019,3.020563377,0.833809628,3.398512678,0.216945706,2.98342536,0.553049201,2.046254365,2.417340969,2.344903681,2.650613904,0.093373747,1.596422659,1.900574998,0.506480136,2.701704318,1.581360443,3.840651959,2.275375,1.296328085,1.637912417,3.018033671,0,0.680185543,0.166035051,0.42754499,1.754082887,0.476432029,0.401685125,0,0.704920406,0.308295194,0.961622254,0,0
Haemophilus,0.011449109,0,0.912159956,0.750090464,0.884362754,0.70971336,1.531285571,0.273788464,0.917012214,0.272237791,1.488993467,0.1094612,0.064726361,0.218029678,0.130936952,0.953436946,0.190377126,0.193851608,0.798879407,0.164517917,0.243952705,0.219100019,0.312788976,0.114155773,0.559118215,0.222273956,0.017000512,0.158480973,1.800003933,0.09904953,0.876632924,0.496985917,0.073886661,0.199562669,0.421135144,0.101931668,0.09490174,0.200361573,0.181687169,0.614536895
Klebsiella_quasipneumoniae,0.204222977,0,0.871524261,1.259847647,1.150876876,1.214043015,0.993930106,1.403319554,1.129080227,1.409171253,0.944334921,0.901209503,0.918352037,1.376385173,1.111378249,0.969772457,1.371449434,1.37692205,0.719506243,1.385805482,1.311911231,0.214776551,1.432445134,1.258238886,0.076729001,1.034391057,0.185524659,1.372640264,0.025798129,1.334529852,0.764141853,1.259384887,1.154253815,1.344429167,1.425481848,1.264596476,1.419516652,1.396078213,1.355856838,0.637178389
Prevotella_corporis,0,0,1.334992,1.136158257,1.288931683,1.046019873,0.931351762,0,1.290327898,0,1.031869477,0,0,0,0,1.404956044,0,0,1.202191698,0,0,0.450024646,0,0,0.22180757,0,0,0,0.011176229,0,0,0,0,0,0,0,0,0,0,0.954519553
Donellivirus,0,0,0.71566049,0.691945737,0.702350475,0.563960461,0.4097144,0.002069015,0.304758742,0,0.539695871,0.000215032,0.126501458,0.005491503,0.432243591,0.100645318,0.002922081,0,0.026318653,0.035553066,0.161406031,0.012652523,0.047794218,0,0.016163947,0.159527954,0.040887521,0,0.001076654,0,0.153584219,0,0.022125351,0,0,0,0,0.174895438,0.126629068,0
Fletchervirus,0,0,0.354100496,0.327820637,0.243148328,0.14821432,0.319094621,0,0.219827442,0,0.209944502,0,0,0.006918858,0.014117837,0.05329119,0,0,0.00679617,0.004204528,0.183376242,0.005888196,0,0,0.007129064,0,0,0,0.000566783,0,0,0.005900804,0,0,0,0,0,0,0,0
Gochnauervirinae,0,0,0.527204721,0.576159936,0.577397605,0.448263514,0.307302929,0,0.212222793,0,0.450998205,0,0,0,0,0.12945215,0,0,0.017157594,0,0,0.012551618,0,0,0.010884047,0,0,0,0.001126969,0,0,0,0,0,0,0,0,0,0,0.094019987
Pecentumvirus,0,0,0.508678495,0.33819795,0.569049574,0.378340512,0.330231786,0,0.220629534,0,0.277128998,0.168219991,0.090753069,0,0.002428134,0,0,0,0.013504481,0.060739616,0,0.00353994,0.000418675,0.000793761,0.003320853,0.063140799,0,0,0,0,0,0.013451668,0.001418999,0,0,0,0,0,0,0.088872017
Spizizenvirus,0,0,0.480305065,0.573225735,0.542787786,0.437576025,0.549952144,0,0.17444072,0,0.401205307,0,0,0,0,0.089568756,0,0,0.010723289,0,0,0.021696576,0,0,0.003990488,0,0,0,0.002490825,0,0,0,0,0,0,0,0,0,0,0.058937482
Spounavirinae,0,0,0.660093113,0.539417756,0.487393526,0.373013678,0.542036577,0,0.057955531,0,0.331697458,0,0,0,0,0.097333496,0,0,0.007370298,0,0,0.012521354,0,0,0.008618333,0,0,0,0.00099523,0,0,0,0,0,0,0,0,0,0,0.146921246
Wbetavirus,0,0,0.378064198,0.351778633,0.225847369,0.242076676,0.328916996,0,0,0,0.267658515,0,0.008786258,0,0.011214661,0.020042755,0.092583706,0,0.01243698,0,0,0.005245175,0,0,0.003550398,0,0,0,0.000373297,0,0,0,0,0,0,0,0,0,0,0.177187869
Salasmaviridae,0,0,0.471951243,0.377932007,0,0.153181267,0.330416534,0,0.13047502,0,0.325368893,0,0,0,0,0.044049513,0,0,0.018607567,0,0,0.017330795,0,0,0.008276054,0,0,0,0.001208636,0,0,0,0,0,0,0,0,0,0,0
Eowynvirus,0,0,0.214301325,0.219178971,0.168992675,0.193412211,0.22739614,0,0,0,0.064076083,0,0,0,0,0.10737466,0,0,0.002386649,0,0,0.001750308,0,0,0.001770456,0,0,0,0.000460273,0,0,0,0,0,0,0,0,0,0,0
Camtrevirus,0,0,0.799283624,0.72429126,0.736421223,0.593245251,0.676509215,0,0.305410646,0,0.716113855,0,0,0,0,0.155793288,0,0,0.01763575,0,0,0.018970491,0,0,0.01586116,0,0,0,0.003135987,0,0,0,0,0,0,0,0,0,0,0.295468999
MMP25,2.251514954,0,2.296325899,0,0,1.573731355,2.454194291,0,2.855411876,2.565282539,2.491971464,2.186505095,2.631003228,0,3.186711889,1.620568994,0.857717013,0.346247962,2.874267849,1.986413116,0,1.938455051,0.871428833,2.434142669,1.933554336,2.456349755,3.357101124,2.804948547,1.390286474,0,0,3.166210987,1.137523936,0.916132688,1.239266395,1.512037395,0,3.030428213,0,1.049363917
TMED2,3.180740564,0,3.041845268,2.681029749,3.204953152,3.254877408,2.839907546,0,3.227910063,3.055613475,3.108025178,2.462461244,2.935095351,1.564012936,3.529342388,3.335196932,2.619956153,3.217729659,3.041000076,2.760814086,1.953222948,2.955093032,2.538332328,2.983000555,0,2.936428089,3.032322541,2.919335621,1.900609001,1.368432676,3.030899168,2.707144312,2.643477479,3.456171369,1.897058529,0,0,2.65499058,3.120655109,2.611883112
HCK,2.79857999,0,2.831884455,0,2.786617947,3.241459821,3.473386104,0,3.44543946,2.746472244,3.334344241,2.499719462,3.026176511,0,3.110760518,3.381070628,3.571829081,0.919955193,3.357637068,3.521533882,0,3.421431582,2.690419741,3.397865942,2.298629492,3.373548783,0.742105978,3.158919556,1.878619868,0,0,3.532290082,2.467879428,2.499837724,1.585526055,0,1.094180764,3.249193847,1.029397732,3.73229649
TLR8,2.961680462,0,0.73032527,0,2.766330373,1.52402507,3.321290231,0,2.833300821,3.027967185,3.21465842,2.705552267,2.857434563,1.274675564,0,2.781994777,2.876201489,0,3.084567416,3.433855272,0,2.236975743,3.238722384,1.852050848,1.637556005,2.542680389,2.090248482,2.766155299,1.314627037,0,0,3.055649445,0.867036104,0.916132688,1.796213188,0,0,3.167657094,0,0
RIPK2,0,0,3.428889064,0,2.377204347,2.978341812,1.900991658,0,2.966670946,2.482058747,3.106737476,2.1580526,2.732696795,3.151640318,0,3.376137474,1.127517997,2.149952407,3.164129912,2.835835654,1.136217425,2.763474982,2.854649712,2.347925899,0,3.234727803,0,3.090724382,2.519678407,0,0,2.292024517,0.867036104,0,1.43080925,0,0,0,0,1.621332645
PIK3CG,2.367447507,0,0,0,2.407893473,2.558334634,3.282991224,0,3.228984415,2.482058747,3.198780822,2.457570925,2.54843111,1.443006823,0,3.10522898,1.505582536,2.034679653,3.031138406,2.857573412,0,3.410711831,2.629284284,2.827976459,1.933554336,2.799300469,2.397447581,0,1.83099035,0,1.138956501,3.024793904,1.998353456,0,2.205853791,0,0,3.014256828,0.534671474,3.132931907
LIPA,0,0,2.181600047,0,1.266038025,0,2.384637471,1.049758386,0,1.176668234,1.376221567,1.860030253,0.655651155,0,1.465173914,2.764600253,0.857717013,2.249985915,2.93308113,1.629055753,1.514685103,0,3.104627934,1.668999064,1.855384097,1.106960854,0,0,1.682384938,1.538281589,0,1.877455751,2.560710979,0.916132688,1.983206714,0,0,0,0,0
VNN1,2.47899753,0,3.216941296,1.752118679,2.131550103,2.995571017,3.203728135,0,3.23748487,2.586077283,3.447623941,2.46729711,3.375399007,0,1.894932595,3.385948375,2.175955338,0,2.782128617,2.064846892,0,3.212441825,1.893486461,3.155736517,1.999777534,2.259643528,0,2.446243371,1.748040667,0,0,3.491339119,1.471762044,3.296354616,1.585526055,0,0,2.65499058,1.029397732,0
IL18RAP,2.727010695,0,0.50340534,0,2.466043537,3.064482788,3.002658989,0,3.435883117,3.084478449,3.134825567,1.6964873,2.620125689,1.564012936,3.654926938,2.383913002,3.41728647,0,2.465615784,2.064846892,0,3.713462928,3.131259812,3.188146898,1.759986196,3.094527089,3.588941457,2.589367672,1.314627037,3.06995898,0,3.368839777,1.228059041,0,1.960939422,0,3.653873835,2.912620691,0,0
ADGRE5,2.667544736,0,1.864372446,0,2.740939322,3.127237809,3.10190022,1.049758386,2.921183587,2.083398423,3.433878605,2.517214672,2.931525059,3.226656376,2.751832482,3.239527889,2.657118566,2.418243502,3.373340533,3.062670923,1.136217425,2.478933921,2.718036481,2.77067761,2.382564882,3.201145269,2.14979094,2.88173101,1.960594111,1.368432676,3.151844465,3.424663825,1.422437697,1.713551831,2.284150225,1.683652948,1.377367901,3.150944067,1.254683436,3.524763954
THEMIS2,2.654608054,0,3.18835338,1.172523664,2.395876784,3.094522193,2.55336409,1.330979371,2.609649457,2.595009136,3.043698502,2.195589581,2.248627819,2.721614044,2.212372056,2.687086375,3.30493681,0,2.892488437,2.506143806,2.660513485,3.064130465,2.468210957,3.012196417,1.759986196,2.839396714,0,2.789034785,1.645415967,0,1.956144445,3.488350096,2.859237113,1.074298826,1.707635928,1.980160631,0,3.283013778,0.534671474,2.372334802
PLAA,1.745073213,0,0.878608671,0,0.652280574,1.945136592,2.777449309,0,0,2.149832889,2.205376868,1.797306645,2.467760738,0,0,2.296484609,0,2.338584894,2.252014953,1.305006959,0,0,0.871428833,1.566794455,1.466438782,2.348490021,0,0.982752623,1.978879329,0,0,2.856469016,2.337122124,0,2.846974773,0,2.687013137,1.52724325,0,0
AKT1,2.042180002,0,0,0,1.222887885,0.480917658,1.81674571,0,0.862080569,0,1.840993834,2.565831544,0.905832497,1.564012936,0,0.891552237,1.505582536,0.536422898,2.367241,1.518162569,0.865818443,0,1.232839365,2.061318979,1.999777534,1.390675861,2.427818979,0,2.115936779,1.368432676,1.423924329,2.084507896,1.422437697,1.648002639,1.897058529,1.224164248,0,1.799843624,0.767168628,0
GBP5,2.138301103,0,1.58185758,0,2.203606952,3.395731428,0.820550509,0,2.405276304,2.324897685,3.817524829,2.071572593,2.638106453,0,3.091362861,3.568400571,2.534471305,3.211591439,3.433402533,3.260900712,3.310299426,2.693969243,3.160236129,3.369168202,1.933554336,3.071979893,0,2.259650218,2.524802605,0,0,2.875328641,2.810778289,1.189989703,2.527151204,0,0,2.958671984,2.331240102,1.330566484
LY96,2.843324627,0,0.73032527,0,0.902041414,2.78454731,2.968639165,0,2.810003362,2.820818683,2.63731969,0,2.183524915,0,2.482872183,2.857795558,0,0,2.739389808,2.841872852,0,3.030736682,0,2.711588484,0,2.568792131,3.294052228,2.523674964,0,0,0,1.688757806,0,1.281254977,0,0,0,2.41889776,2.562010651,2.311913275
HK1,1.622730396,0,2.545241943,0,3.015313616,2.501208533,0,3.585647596,0.971841444,2.744910028,2.673755785,2.508555159,1.875247257,2.5194537,2.265310161,1.449649004,1.292679805,2.514011782,2.602844859,2.420254791,2.185286115,2.287848557,1.663349601,3.002446177,2.107955335,2.367211091,2.039536744,1.925499044,2.074876509,0,2.855010096,2.719061315,2.617602478,2.463528655,2.069535355,0,0,1.567461754,2.250496301,2.241705758
PTX3,2.583423898,0,0.98894596,0,0,2.338094434,0,0,1.059383423,0,2.4383309,1.63568127,3.334862326,0,0,3.174600034,0,0,2.31861433,2.543458486,0,0,0,1.093997771,0,2.00534188,0,0,1.682384938,0,0,1.272254225,0.867036104,0,1.098305971,0,0,2.847205589,0,0
HMGB2,2.516665957,0,2.79083537,0,1.767829724,2.724173126,2.848633653,0,2.746440475,2.588327527,2.936896517,2.416329644,3.045902396,1.443006823,1.80900993,2.756926759,2.051980931,1.930148772,2.713232343,2.829713347,0,3.056019644,3.090105817,2.866237256,2.057225994,2.978762184,2.638612727,2.56290804,1.390286474,0,1.423924329,2.890442565,1.984258307,2.875491637,1.43080925,0,0,3.215981459,1.118113532,2.815604867
NFKBID,1.451784885,0,0.73032527,3.523549675,2.319472626,2.380406757,2.374460952,3.327461185,2.666109633,1.544668553,2.565123655,2.195589581,1.983103571,1.443006823,2.901596292,2.466840049,3.203043509,0,2.723480191,2.306278875,0,3.182905334,2.200630364,2.21508814,1.999777534,3.221604734,0,2.519926124,1.560443834,1.956319059,0,3.142483884,0.621315641,1.189989703,1.585526055,0,0,2.160612709,0,2.835469962
