fam	Category	Class	family	score
Miltonvirus	phage	Caudoviricetes	Ackermannviridae	0.270060959
Aliceevansviridae	phage	Caudoviricetes	Aliceevansviridae	0.002772367
Moineauvirus	phage	Caudoviricetes	Aliceevansviridae	0.145755413
Brussowvirus	phage	Caudoviricetes	Aliceevansviridae	0.828995053
Heliosvirus	Giant	Megaviricetes	Allomimiviridae	0.091770524
Oceanusvirus	Giant	Megaviricetes	Allomimiviridae	0.504321577
Betatorquevirus	euka	Anelloviridae	Anelloviridae_uncl	0.028289414
Gammatorquevirus	euka	Anelloviridae	Anelloviridae_uncl	0.037841537
Anelloviridae	euka	Anelloviridae	Anelloviridae_uncl	0.096815799
Alphatorquevirus	euka	Anelloviridae	Anelloviridae_uncl	4.011949239
Toursvirus	Giant	Megaviricetes	Ascoviridae	0.004560058
Podivirus	phage	Caudoviricetes	Autographiviridae	0.005219725
Warsawvirus	phage	Caudoviricetes	Autographiviridae	0.005554934
Teseptimavirus	phage	Caudoviricetes	Autographiviridae	0.019619526
Wanjuvirus	phage	Caudoviricetes	Autographiviridae	0.024615741
Phikmvvirus	phage	Caudoviricetes	Autographiviridae	0.034767343
Maculvirus	phage	Caudoviricetes	Autographiviridae	0.03707011
Friunavirus	phage	Caudoviricetes	Autographiviridae	0.04269713
Kakivirus	phage	Caudoviricetes	Autographiviridae	0.068702014
Ayakvirus	phage	Caudoviricetes	Autographiviridae	0.074143618
Stubburvirus	phage	Caudoviricetes	Autographiviridae	0.079448846
Phimunavirus	phage	Caudoviricetes	Autographiviridae	0.089805994
Autographiviridae	phage	Caudoviricetes	Autographiviridae	0.112439619
Jacunavirus	phage	Caudoviricetes	Casjensviridae	0.0005791
Sessunavirus	phage	Caudoviricetes	Casjensviridae	0.011716216
Chivirus	phage	Caudoviricetes	Casjensviridae	0.0213493
Casjensviridae	phage	Caudoviricetes	Casjensviridae	0.063015654
Maxdohrnvirus	phage	Caudoviricetes	Casjensviridae	0.077198664
Amigovirus	phage	Caudoviricetes	Caudoviricetes_uncl	3.96E-05
Hapunavirus	phage	Caudoviricetes	Caudoviricetes_uncl	9.65E-05
Abouovirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.00019949
Lughvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.00030146
Pagevirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.000398186
Phifelvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.000474873
Uetakevirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.000655284
Seussvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.000809793
Muldoonvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.000951485
Mycoabscvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.001173178
Juiceboxvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.001206455
Cimandefvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.001610328
Pavtokvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.001671701
Stanholtvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.00169733
Lenusvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.00181306
Dismasvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.001880467
Yanchengvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.002256859
Gofduovirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.00250645
Bakolyvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.002832032
Plaisancevirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.002859645
Tsamsavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.00312489
Skunavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.003234581
Sextaecvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.0033013
Lagaffevirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.003658307
Efquatrovirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.003953755
Slashvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.005045037
Metrivirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.00518875
Lilyvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.005301192
Eponavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.005623403
Kilunavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.005807712
Catfishvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.005915863
Bocovirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.007698845
Xaviavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.008168069
Ittyvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.009012096
Dhillonvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.011315685
Myrnavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.011440865
Anamdongvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.012500942
Latrobevirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.012846799
Astrithrvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.013828563
Heilongjiangvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.013878974
Knuthellervirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.015109697
Iapetusvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.016861494
Septimatrevirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.020409907
Nipunavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.021113061
Biseptimavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.021592
Oengusvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.023734252
Phietavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.024009155
Cequinquevirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.024019725
Lessievirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.026111313
Samwavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.027296688
Jerseyvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.031154564
Saphexavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.031472389
Moabitevirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.037201179
Waukeshavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.038409885
Bixzunavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.0433978
Colossusvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.046250618
Kamchatkavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.048803715
Arawnvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.052567538
Bcepmuvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.055234421
Punavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.055661148
Chiangmaivirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.05677824
Rockefellervirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.057384715
Deurplevirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.060722985
Elmenteitavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.061786496
Alexandravirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.064642983
Pushchinovirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.069130041
Hollowayvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.071672188
Ripduovirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.076087485
Jenstvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.090737035
Jacevirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.091328747
Rauchvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.09352729
Magiavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.097807206
Lidleunavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.101188955
Lederbergvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.106090815
Schmidvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.107349054
Thornevirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.107446218
Lambdavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.110392322
Halcyonevirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.121513158
Pebcunavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.127451352
Yongloolinvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.130188733
Saundersvirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.131885832
Lafunavirus	phage	Caudoviricetes	Caudoviricetes_uncl	0.138452274
