"sample"	"feature"	"value"	"view"
"FD21772261"	"Acinetobacter_baumannii"	2.56582964023665	"bacrep"
"FD21772261"	"Aequorivita_sp._609"	2.05605086474763	"bacrep"
"FD21772261"	"Alloprevotella_sp._Lung230"	0	"bacrep"
"FD21772261"	"Alloprevotella_sp._OH1205_COT-284"	0	"bacrep"
"FD21772261"	"Alloprevotella_sp._oral_taxon_473"	0	"bacrep"
"FD21772261"	"Alloprevotella_tannerae"	0	"bacrep"
"FD21772261"	"Alloprevotella_uncl"	0	"bacrep"
"FD21772261"	"Atopobiaceae_uncl"	0	"bacrep"
"FD21772261"	"Bacilli_uncl"	3.27784978553554	"bacrep"
"FD21772261"	"Bacillota_uncl"	3.39853996884275	"bacrep"
"FD21772261"	"Bacillus_sp._CN2"	3.58639632973263	"bacrep"
"FD21772261"	"Bacillus_thuringiensis"	4.98129984989646	"bacrep"
"FD21772261"	"Bacteroidales_uncl"	0	"bacrep"
"FD21772261"	"Bacteroides_uncl"	3.06217929497204	"bacrep"
"FD21772261"	"Chryseobacterium_gambrini"	0	"bacrep"
"FD21772261"	"Clostridium_sp."	0	"bacrep"
"FD21772261"	"Enterobacterales_uncl"	0	"bacrep"
"FD21772261"	"Enterobacteriaceae_uncl"	0.949722923491882	"bacrep"
"FD21772261"	"Enterococcus_faecalis"	1.51361907369405	"bacrep"
"FD21772261"	"Escherichia_coli"	3.57938784585753	"bacrep"
"FD21772261"	"Faecalibaculum_rodentium"	2.42922268771414	"bacrep"
"FD21772261"	"Fusobacterium_uncl"	2.95303092703884	"bacrep"
"FD21772261"	"Fusobacterium_vincentii"	2.68027022498001	"bacrep"
"FD21772261"	"Gammaproteobacteria_uncl"	3.73865360191343	"bacrep"
"FD21772261"	"Gemella_haemolysans"	3.41068068193364	"bacrep"
"FD21772261"	"Gemella_morbillorum"	0	"bacrep"
"FD21772261"	"Gemella_sanguinis"	0	"bacrep"
"FD21772261"	"Gemella_uncl"	3.0312482927697	"bacrep"
"FD21772261"	"Gemelliphila_asaccharolytica"	0	"bacrep"
"FD21772261"	"Haemophilus_influenzae"	3.32173987787225	"bacrep"
"FD21772261"	"Haemophilus_uncl"	3.57162032347177	"bacrep"
"FD21772261"	"Hoylesella_nanceiensis"	0	"bacrep"
"FD21772261"	"Klebsiella_pneumoniae"	4.88592503251095	"bacrep"
"FD21772261"	"Klebsiella_quasipneumoniae"	4.74634506954219	"bacrep"
"FD21772261"	"Lactobacillales_uncl"	0	"bacrep"
"FD21772261"	"Legionella_pneumophila"	0	"bacrep"
"FD21772261"	"Leptospira_interrogans"	1.54199992427651	"bacrep"
"FD21772261"	"Limosilactobacillus_fermentum"	1.02444864694999	"bacrep"
"FD21772261"	"Listeria_monocytogenes"	0	"bacrep"
"FD21772261"	"Luteimonas_terricola"	3.18592990809575	"bacrep"
"FD21772261"	"Metamycoplasma_hominis"	3.1528838885151	"bacrep"
"FD21772261"	"Metamycoplasma_salivarium"	4.06389784915083	"bacrep"
"FD21772261"	"Paracoccus_acridae"	4.58672334647317	"bacrep"
"FD21772261"	"Parasaccharibacter_sp._TMW_2.1884"	2.19737955219704	"bacrep"
"FD21772261"	"Parasedimentitalea_denitrificans"	3.72285523803961	"bacrep"
"FD21772261"	"Parvimonas_micra"	0.564832333717305	"bacrep"
"FD21772261"	"Parvimonas_uncl"	0	"bacrep"
"FD21772261"	"Pasteurellaceae_uncl"	2.56159528984342	"bacrep"
"FD21772261"	"Peptostreptococcus_uncl"	0	"bacrep"
"FD21772261"	"Porphyromonas_endodontalis"	0	"bacrep"
"FD21772261"	"Porphyromonas_uenonis"	0	"bacrep"
"FD21772261"	"Porphyromonas_uncl"	3.00482051560107	"bacrep"
"FD21772261"	"Prevotella_bivia"	0	"bacrep"
"FD21772261"	"Prevotella_corporis"	4.61425324648988	"bacrep"
"FD21772261"	"Prevotella_denticola"	1.20298059219842	"bacrep"
"FD21772261"	"Prevotella_histicola"	2.81660393097858	"bacrep"
"FD21772261"	"Prevotella_intermedia"	1.47648616938317	"bacrep"
"FD21772261"	"Prevotella_jejuni"	0	"bacrep"
"FD21772261"	"Prevotella_melaninogenica"	0	"bacrep"
"FD21772261"	"Prevotella_nigrescens"	0	"bacrep"
"FD21772261"	"Prevotella_pallens"	0	"bacrep"
"FD21772261"	"Prevotella_sp."	0	"bacrep"
"FD21772261"	"Prevotella_uncl"	3.91097338165116	"bacrep"
"FD21772261"	"Prevotella_veroralis"	0	"bacrep"
"FD21772261"	"Prevotellaceae_uncl"	0	"bacrep"
"FD21772261"	"Proteus_mirabilis"	1.74080153988747	"bacrep"
"FD21772261"	"Proteus_uncl"	1.94731066475944	"bacrep"
"FD21772261"	"Providencia_sp._PROV037"	1.38097213222696	"bacrep"
"FD21772261"	"Pseudomonadota_uncl"	2.63765400945194	"bacrep"
"FD21772261"	"Pseudomonas_aeruginosa"	3.57972838136379	"bacrep"
"FD21772261"	"Pseudomonas_sp._DCB_PUT"	0	"bacrep"
"FD21772261"	"Pseudonocardia_sp._EV170527-09"	1.00676109225375	"bacrep"
"FD21772261"	"Rhodobacter_flavimaris"	1.08209318062548	"bacrep"
"FD21772261"	"Roseovarius_sp._EGI_FJ00037"	2.1696544730966	"bacrep"
"FD21772261"	"Saccharospirillum_mangrovi"	2.34826610842396	"bacrep"
"FD21772261"	"Saezia_sanguinis"	0	"bacrep"
"FD21772261"	"Salmonella_sp._S146_54837"	3.13402278030466	"bacrep"
"FD21772261"	"Segatella_oris"	3.62025829645584	"bacrep"
"FD21772261"	"Segatella_oulorum"	0	"bacrep"
"FD21772261"	"Segatella_salivae"	2.49508381624214	"bacrep"
"FD21772261"	"Segatella_uncl"	0	"bacrep"
"FD21772261"	"Shigella_flexneri"	1.44387559041857	"bacrep"
"FD21772261"	"Sneathia_uncl"	3.0510697403462	"bacrep"
"FD21772261"	"Staphylococcus_aureus"	2.08063094382802	"bacrep"
"FD21772261"	"Staphylococcus_uncl"	3.38291473054608	"bacrep"
"FD21772261"	"Streptococcus_anginosus"	0	"bacrep"
"FD21772261"	"Streptococcus_constellatus"	0	"bacrep"
"FD21772261"	"Streptococcus_infantis"	0	"bacrep"
"FD21772261"	"Streptococcus_intermedius"	0	"bacrep"
"FD21772261"	"Streptococcus_oralis"	3.02254505534428	"bacrep"
"FD21772261"	"Streptococcus_periodonticum"	0	"bacrep"
"FD21772261"	"Streptococcus_pneumoniae"	1.66683910821239	"bacrep"
"FD21772261"	"Streptococcus_sp._SK643"	0	"bacrep"
"FD21772261"	"Streptococcus_sp._SM3"	1.06832211752357	"bacrep"
"FD21772261"	"Streptococcus_uncl"	4.58085504544258	"bacrep"
"FD21772261"	"Uncl_bac"	4.97295394677163	"bacrep"
"FD21772261"	"uncultured_Alloprevotella_sp."	0	"bacrep"
"FD21772261"	"uncultured_Gemella_sp."	0	"bacrep"
"FD21772261"	"uncultured_Haemophilus_sp."	4.05206628349549	"bacrep"
"FD21772261"	"uncultured_Porphyromonas_sp."	0	"bacrep"
"FD21772261"	"uncultured_Prevotella_sp."	0	"bacrep"
"FD21772261"	"Ureaplasma_urealyticum"	3.54144524080672	"bacrep"
"FD21772261"	"Veillonella_sp."	1.84576091893836	"bacrep"
"FD21772261"	"Veillonella_uncl"	1.08973347153478	"bacrep"
"FD21772261"	"Vibrio_parahaemolyticus"	0	"bacrep"
"FD21772261"	"Vibrio_sp._Vb2131"	1.05162332727843	"bacrep"
"FD21772261"	"Wenyingzhuangia_marina"	4.56564940888145	"bacrep"
"FD21772261"	"Xylella_fastidiosa"	1.16018605692143	"bacrep"
"FD21772351"	"Acinetobacter_baumannii"	2.72266200772948	"bacrep"
"FD21772351"	"Aequorivita_sp._609"	1.57375223574278	"bacrep"
"FD21772351"	"Alloprevotella_sp._Lung230"	0	"bacrep"
"FD21772351"	"Alloprevotella_sp._OH1205_COT-284"	0	"bacrep"
"FD21772351"	"Alloprevotella_sp._oral_taxon_473"	0.756430125937304	"bacrep"
"FD21772351"	"Alloprevotella_tannerae"	1.77813220658738	"bacrep"
"FD21772351"	"Alloprevotella_uncl"	0.158583321131848	"bacrep"
"FD21772351"	"Atopobiaceae_uncl"	0	"bacrep"
"FD21772351"	"Bacilli_uncl"	2.75993224431764	"bacrep"
"FD21772351"	"Bacillota_uncl"	2.94224359830906	"bacrep"
"FD21772351"	"Bacillus_sp._CN2"	3.40810832970726	"bacrep"
"FD21772351"	"Bacillus_thuringiensis"	4.78251517462775	"bacrep"
"FD21772351"	"Bacteroidales_uncl"	0	"bacrep"
"FD21772351"	"Bacteroides_uncl"	3.11662840037536	"bacrep"
"FD21772351"	"Chryseobacterium_gambrini"	1.47268183681917	"bacrep"
"FD21772351"	"Clostridium_sp."	0.588912796665148	"bacrep"
"FD21772351"	"Enterobacterales_uncl"	3.06403250248746	"bacrep"
"FD21772351"	"Enterobacteriaceae_uncl"	1.91489807845941	"bacrep"
"FD21772351"	"Enterococcus_faecalis"	1.70017331759694	"bacrep"
"FD21772351"	"Escherichia_coli"	3.96350272817507	"bacrep"
"FD21772351"	"Faecalibaculum_rodentium"	2.84717102486674	"bacrep"
"FD21772351"	"Fusobacterium_uncl"	3.10827600810904	"bacrep"
"FD21772351"	"Fusobacterium_vincentii"	2.35281431350397	"bacrep"
"FD21772351"	"Gammaproteobacteria_uncl"	4.20665754998803	"bacrep"
"FD21772351"	"Gemella_haemolysans"	3.28533587624254	"bacrep"
"FD21772351"	"Gemella_morbillorum"	0	"bacrep"
"FD21772351"	"Gemella_sanguinis"	0	"bacrep"
"FD21772351"	"Gemella_uncl"	2.8770511083896	"bacrep"
"FD21772351"	"Gemelliphila_asaccharolytica"	1.11172763792748	"bacrep"
"FD21772351"	"Haemophilus_influenzae"	4.83254593543525	"bacrep"
"FD21772351"	"Haemophilus_uncl"	5.10189995854701	"bacrep"
"FD21772351"	"Hoylesella_nanceiensis"	0.215379928729546	"bacrep"
"FD21772351"	"Klebsiella_pneumoniae"	4.63919459381469	"bacrep"
"FD21772351"	"Klebsiella_quasipneumoniae"	4.56035396422498	"bacrep"
"FD21772351"	"Lactobacillales_uncl"	0	"bacrep"
"FD21772351"	"Legionella_pneumophila"	0	"bacrep"
"FD21772351"	"Leptospira_interrogans"	1.55172069998036	"bacrep"
"FD21772351"	"Limosilactobacillus_fermentum"	1.51221096922816	"bacrep"
"FD21772351"	"Listeria_monocytogenes"	2.33297256323747	"bacrep"
"FD21772351"	"Luteimonas_terricola"	2.68941537094873	"bacrep"
"FD21772351"	"Metamycoplasma_hominis"	4.39524322828716	"bacrep"
"FD21772351"	"Metamycoplasma_salivarium"	3.66673800831105	"bacrep"
"FD21772351"	"Paracoccus_acridae"	4.19552058999047	"bacrep"
"FD21772351"	"Parasaccharibacter_sp._TMW_2.1884"	1.3864231887323	"bacrep"
"FD21772351"	"Parasedimentitalea_denitrificans"	2.92346405927878	"bacrep"
"FD21772351"	"Parvimonas_micra"	0.101123580660901	"bacrep"
"FD21772351"	"Parvimonas_uncl"	0.204787903089294	"bacrep"
"FD21772351"	"Pasteurellaceae_uncl"	4.33357992424807	"bacrep"
"FD21772351"	"Peptostreptococcus_uncl"	1.6674056147333	"bacrep"
"FD21772351"	"Porphyromonas_endodontalis"	0.281364741636785	"bacrep"
"FD21772351"	"Porphyromonas_uenonis"	0.412638044185418	"bacrep"
"FD21772351"	"Porphyromonas_uncl"	2.72584715877947	"bacrep"
"FD21772351"	"Prevotella_bivia"	0.410431245057811	"bacrep"
"FD21772351"	"Prevotella_corporis"	4.65793653711778	"bacrep"
"FD21772351"	"Prevotella_denticola"	0	"bacrep"
"FD21772351"	"Prevotella_histicola"	2.59705624304564	"bacrep"
"FD21772351"	"Prevotella_intermedia"	1.49035907715903	"bacrep"
"FD21772351"	"Prevotella_jejuni"	1.24781590007924	"bacrep"
"FD21772351"	"Prevotella_melaninogenica"	1.5039364779239	"bacrep"
"FD21772351"	"Prevotella_nigrescens"	0	"bacrep"
"FD21772351"	"Prevotella_pallens"	0	"bacrep"
"FD21772351"	"Prevotella_sp."	0	"bacrep"
"FD21772351"	"Prevotella_uncl"	3.6782704411232	"bacrep"
"FD21772351"	"Prevotella_veroralis"	0	"bacrep"
"FD21772351"	"Prevotellaceae_uncl"	2.45651324205466	"bacrep"
"FD21772351"	"Proteus_mirabilis"	2.58752524658083	"bacrep"
"FD21772351"	"Proteus_uncl"	1.66382158380204	"bacrep"
"FD21772351"	"Providencia_sp._PROV037"	1.46155007886017	"bacrep"
"FD21772351"	"Pseudomonadota_uncl"	1.85651451780742	"bacrep"
"FD21772351"	"Pseudomonas_aeruginosa"	3.50928144031674	"bacrep"
"FD21772351"	"Pseudomonas_sp._DCB_PUT"	2.23527952787813	"bacrep"
"FD21772351"	"Pseudonocardia_sp._EV170527-09"	1.98433274719833	"bacrep"
"FD21772351"	"Rhodobacter_flavimaris"	2.19219539688857	"bacrep"
"FD21772351"	"Roseovarius_sp._EGI_FJ00037"	2.44645305118487	"bacrep"
"FD21772351"	"Saccharospirillum_mangrovi"	1.80964535835387	"bacrep"
"FD21772351"	"Saezia_sanguinis"	1.01474947310901	"bacrep"
"FD21772351"	"Salmonella_sp._S146_54837"	3.05253217999933	"bacrep"
"FD21772351"	"Segatella_oris"	3.60627870661757	"bacrep"
"FD21772351"	"Segatella_oulorum"	0	"bacrep"
"FD21772351"	"Segatella_salivae"	2.08753956412276	"bacrep"
"FD21772351"	"Segatella_uncl"	0	"bacrep"
"FD21772351"	"Shigella_flexneri"	0.565398610204571	"bacrep"
"FD21772351"	"Sneathia_uncl"	2.79749574548949	"bacrep"
"FD21772351"	"Staphylococcus_aureus"	2.68688417206574	"bacrep"
"FD21772351"	"Staphylococcus_uncl"	2.96386758575582	"bacrep"
