ID	Group	logFC	logCPM	F	PValue	FDR	
ENSG00000204616	C2	-17.21964689	7.59137215	4.617680654	0.031700945	0.676427815	TRIM31
ENSG00000167604	C2	-5.593293723	10.50857287	4.608765524	0.031865978	0.676427815	NFKBID
ENSG00000086598	C1	4.346323915	12.24273524	4.128494938	0.04222961	0.857444693	TMED2
ENSG00000123146	C1	5.344248711	12.44039262	4.792591689	0.028637202	0.668678671	ADGRE5
ENSG00000130775	C1	5.627968922	11.62984585	5.377706559	0.020443391	0.60254186	THEMIS2
ENSG00000173039	C1	6.089958476	11.37973267	5.703645048	0.016973609	0.60254186	RELA
ENSG00000101916	C1	6.490747735	11.66413594	5.772189868	0.016324836	0.60254186	TLR8
ENSG00000105851	C1	6.520807083	11.92486375	6.11639728	0.013432606	0.60254186	PIK3CG
ENSG00000164104	C1	6.546701923	11.48708585	5.029032835	0.024977741	0.61392659	HMGB2
ENSG00000107798	C1	7.083560124	10.13467988	5.155420814	0.023224312	0.60254186	LIPA
ENSG00000112299	C1	7.511928913	11.87333975	5.373558605	0.020491995	0.60254186	VNN1
ENSG00000142208	C1	7.871361068	9.492375828	5.856891396	0.015558313	0.60254186	AKT1
ENSG00000154451	C1	8.075091553	12.73649069	6.808196706	0.009106197	0.60254186	GBP5
ENSG00000101336	C1	8.081701054	12.87419894	9.349876118	0.002244037	0.354749016	HCK
ENSG00000198961	C1	8.125164987	13.36111767	10.87478315	0.00098293	0.354749016	PJA2
ENSG00000115607	C1	8.19610269	11.93041341	7.343581003	0.006757578	0.60254186	IL18RAP
ENSG00000104312	C1	9.085980474	12.06344482	5.16359588	0.023115389	0.60254186	RIPK2
ENSG00000156515	C1	9.632736095	11.22491194	6.564764963	0.010436301	0.60254186	HK1
ENSG00000137055	C1	10.33007444	10.12390184	6.975255186	0.00829503	0.60254186	PLAA
ENSG00000008516	C1	12.88532986	10.15319803	5.378778075	0.020430855	0.60254186	MMP25
ENSG00000196189	C1	13.06374961	11.10922513	8.828340808	0.00298268	0.354749016	SEMA4A
ENSG00000154589	C1	15.58595476	10.84162271	5.323704093	0.021085611	0.60254186	LY96
ENSG00000163661	C1	24.999483	9.736465745	8.794416291	0.003038535	0.354749016	PTX3
