	FD21772346	FD21772351	FD21772506	FD21772802	FD21772908	FD21773044	FD21773140	FD21773336	FD21773537	FD21773545	FD21773644	FD21773746	FD21773934	FD21774007	FD21774233	FD21774611	FD21774623	FD21774695	FD21771986	FD21772292	FD21772392	FD21772806	FD21772808	FD21772863	FD21772902	FD21773104	FD21773752	FD21773841	FD21773858	FD21774370	FD21774498	FD21774545	FD21774760	FD21773450	FD21773744	FD21774168	FD21774818
PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7841: neolacto-series glycosphingolipids biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6607: guanosine nucleotides degradation I	0	0	0	10.46635717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.99108717	0	0	0	0	0	0	0
PWY-5381: NAD salvage (plants)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6368: 3-phosphoinositide degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.97932036	0	0	0	0	0	0	0	0	0
PWY-8055: palmitoyl ethanolamide biosynthesis	0	20.92975206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARNMET-PWY: L-carnitine degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.51340301	0	0	0	0	0	0	0
PWY-5972: stearate biosynthesis I (animals)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY0-1533: methylphosphonate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.42578009	0	0	0	0	0	0	0
P108-PWY: pyruvate fermentation to propanoate I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.26446397	0
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY0-461: L-lysine degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.01927656	0	0	0	0	0	0	0
PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.94835043	0	0	0	0	0	0	0
PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.87755413	0	0	0	0	0	0	0
PWY-5692: allantoin degradation to glyoxylate II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.17427395	0	0	0	0	0	0	0
URDEGR-PWY: superpathway of allantoin degradation in plants	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.17427395	0	0	0	0	0	0	0
PWY-7805: (aminomethyl)phosphonate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.54895278	0	0	0	0	0	0	0
PWY-7807: glyphosate degradation III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.02086865	0	0	0	0	0	0	0
PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.23898635	0	0	0	0	0	0	0
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (early decarboxylation)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.45885048	0	0	0	0	0	0	0
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	0	0	0	47.11261136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.20724496	0	0	0	0	0	0	0	0	0	0
PWY-8190: L-glutamate degradation XI (reductive Stickland reaction)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY0-41: allantoin degradation IV (anaerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.25217166	0	0	0	0	0	0	0
P23-PWY: reductive TCA cycle I	0	0	0	0	0	0	87.49094899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	0	0	0	89.35460966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.72700931	0	0	0	0	0	0	0
PWY-6992: 1,5-anhydrofructose degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.97380616	0	0	0	0	0	0	0
