Node	Observed_degree	Observed_BiBC	Probability	Degree_norm	BiBC_norm	Prob_norm	Importance_score	kingdom
Alloprevotella	15	0.007602246	0.05	0.933333333	1	0.969387755	0.967573696	bacteria
Prevotella_corporis	15	0.007602246	0.05	0.933333333	1	0.969387755	0.967573696	bacteria
Salasmaviridae	16	0.006689977	0.02	1	0.880000068	1	0.960000023	virus
Brussowvirus	15	0.006689977	0.05	0.933333333	0.880000068	0.969387755	0.927573719	virus
Camtrevirus	15	0.006689977	0.05	0.933333333	0.880000068	0.969387755	0.927573719	virus
Eowynvirus	15	0.006689977	0.05	0.933333333	0.880000068	0.969387755	0.927573719	virus
Fletchervirus	15	0.006689977	0.05	0.933333333	0.880000068	0.969387755	0.927573719	virus
Gochnauervirinae	15	0.006689977	0.05	0.933333333	0.880000068	0.969387755	0.927573719	virus
Spizizenvirus	15	0.006689977	0.05	0.933333333	0.880000068	0.969387755	0.927573719	virus
Spounavirinae	15	0.006689977	0.05	0.933333333	0.880000068	0.969387755	0.927573719	virus
Wbetavirus	15	0.006689977	0.05	0.933333333	0.880000068	0.969387755	0.927573719	virus
Donellivirus	14	0.003333333	0.12	0.866666667	0.438466869	0.897959184	0.73436424	virus
Haemophilus	14	0.001748252	0.12	0.866666667	0.229965197	0.897959184	0.664863682	bacteria
Streptococcus	14	0.001748252	0.12	0.866666667	0.229965197	0.897959184	0.664863682	bacteria
Pecentumvirus	14	0	0.12	0.866666667	0	0.897959184	0.588208617	virus
Klebsiella_pneumoniae	13	0	0.22	0.8	0	0.795918367	0.531972789	bacteria
ADM	9	0	0.88	0.533333333	0	0.12244898	0.218594104	genes
TLR8	8	0	0.96	0.466666667	0	0.040816327	0.169160998	genes
PIK3CG	7	0	0.99	0.4	0	0.010204082	0.136734694	genes
PLAA	7	0	0.99	0.4	0	0.010204082	0.136734694	genes
IL18R1	6	0	1	0.333333333	0	0	0.111111111	genes
LY96	6	0	1	0.333333333	0	0	0.111111111	genes
NFATC3	6	0	1	0.333333333	0	0	0.111111111	genes
TRIM14	5	0	1	0.266666667	0	0	0.088888889	genes
PTX3	4	0	1	0.2	0	0	0.066666667	genes
NLRP1	3	0	1	0.133333333	0	0	0.044444444	genes
PXK	3	0	1	0.133333333	0	0	0.044444444	genes
BLNK	2	0	1	0.066666667	0	0	0.022222222	genes
IL18RAP	2	0	1	0.066666667	0	0	0.022222222	genes
LACC1	2	0	1	0.066666667	0	0	0.022222222	genes
PRKD1	2	0	1	0.066666667	0	0	0.022222222	genes
CCL20	1	0	1	0	0	0	0	genes
CHI3L1	1	0	1	0	0	0	0	genes
MTOR	1	0	1	0	0	0	0	genes
