	Host	TYPE	Lineage	FD21771986	FD21772039	FD21772049	FD21772050	FD21772081	FD21772084	FD21772128	FD21772138	FD21772173	FD21772179	FD21772189	FD21772250	FD21772261	FD21772292	FD21772298	FD21772311	FD21772337	FD21772347	FD21772351	FD21772426	FD21772472	FD21772488	FD21772517	FD21772578	FD21772584	FD21772699	FD21772702	FD21772752	FD21772778	FD21772795	FD21772802	FD21772808	FD21772813	FD21772863	FD21772908	FD21772910	FD21772934	FD21772937	FD21772947	FD21772976	FD21773016	FD21773025	FD21773037	FD21773044	FD21773059	FD21773063	FD21773095	FD21773104	FD21773106	FD21773116	FD21773158	FD21773174	FD21773200	FD21773221	FD21773259	FD21773306	FD21773313	FD21773335	FD21773336	FD21773348	FD21773352	FD21773362	FD21773369	FD21773436	FD21773511	FD21773537	FD21773545	FD21773589	FD21773609	FD21773630	FD21773644	FD21773651	FD21773653	FD21773669	FD21773675	FD21773737	FD21773746	FD21773752	FD21773765	FD21773775	FD21773783	FD21773800	FD21773803	FD21773819	FD21773823	FD21773832	FD21773840	FD21773841	FD21773846	FD21773847	FD21773869	FD21773873	FD21773312	FD21773956	FD21773958	FD21773965	FD21774021	FD21774041	FD21774042	FD21774045	FD21774064	FD21774113	FD21774123	FD21774168	FD21774233	FD21774281	FD21774318	FD21774370	FD21774401	FD21774415	FD21774444	FD21774445	FD21774681	FD21774468	FD21774498	FD21774517	FD21774522	FD21774523	FD21774524	FD21774545	FD21774611	FD21774628	FD21774642	FD21774674	FD21774695	FD21774702	FD21774708	FD21774709	FD21774719	FD21774746	FD21774760	FD21774779	FD21774818
NODE_1_length_1093_cov_8.613680	genus:Homo	-	"superkingdom:Viruses;family:Anelloviridae;genus:Alphatorquevirus"	0	0	0	0	0	55319.15109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185.7597245	0	0	0	132.6537746	0	0	0	0	0	0	0	0	0	0	0	0	0	1757.420444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	642.0067247	0	0	0	0	0	0	0	0	92.50422964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247.3406551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.50158697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1_length_1223_cov_4.292808	genus:Homo	-	"superkingdom:Viruses;family:Anelloviridae;genus:Alphatorquevirus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	501.5558891	0	0	0	0	0	0	0	256.8233964	0	0	0	0	0	0	0	41.50355252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10784.88069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10479.00113	0	0	0	0	0	0	0	49.33473041	0	0	0	0	0	0	0	0	0	0	0	128.3852348	0	0	0
NODE_1_length_12430_cov_52.626990	species:Veillonella	temperate	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Knuthellervirus"	4.542092186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.33874034	0	0	0	0	0	0	0.061778405	0	0	0	0	0	0	0	0	130.6576338	15.16438834	0	0	0	0	0	0	0	36.88185961	0	0	0	0	0	0	0	152.1475381	0	0	0	0	5274.619292	0	0.089765643	0	0.349249097	4.270086969	0	19.80809493	0	0	0	0	0	30.07420748	0	0	6.302071686	0	0	107.1158768	0	5.665862906	0	3.983880315	2.989824495	0	0	0	0	0	0	0	0	0	0	0	0	0	1.556029114	0	0	0	0	215.037809	0	37.63724867	0	0	0	0	0	0	0	0	0.091095492	0	0	0	126.1616998	21955.19352	0	0	0	2.010239457	0	6.465496697	0	0	0	0	1.564872523	0	0	55.34371203	0	0	0	3.555230764	0	0
NODE_1_length_12659_cov_98.208426	species:Mogibacterium	temperate	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	0	0	76.13962353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.224085311	0	6.493938716	0	0	0	0	0	0	2502.021038	0	0	0	0	0	0	0	0	305.330118	8.842527944	0	0	58.79726415	192.4190067	0	0	0	2022.65467	0	0	0	0	0	0.175419264	243.7280673	0	0	0	0	0	0	2.412430762	0	0	243.5637231	0	22.702325	0	208.0756435	0	0	0	0	0	503.0092553	34.39676682	0	0	0	0	1585.752969	0	0	0	11.05813246	0	0	0	0	0	53.12682176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80571124	0	28.48724265	103.8900807	24.72908598	129.9042082	21.3528514	0	0	0	0	0	0	0	0	0	2465.784231	0	0	0	0	0	23574.15592	0	0	0
NODE_1_length_13367_cov_147.343450	species:Neisseria	virulent	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Loebvirae;phylum:Hofneiviricota;class:Faserviricetes;order:Tubulavirales;family:Inoviridae"	0	0	0	0	20.02224119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.288977611	0	0	0	0	0	0	0	0	0	0	0	0	0	0.502739132	0	18.45820429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.432973676	0	0	0	0	0	0	0	0	0	1335.717008	0	0	0	0	0	0	0	0	0	0	0	0	2.93136741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.941251595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.94209477	35.20246348	0	57069.11807	7.898131542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.936618952	0	0	0
NODE_1_length_1371_cov_16.987842	genus:Homo	-	"superkingdom:Viruses;family:Anelloviridae;genus:Alphatorquevirus"	0	0	355.0105839	0	0	0	0	0	0	950.0418137	1594.595597	0	0	122.1800613	0	279.632956	0	0	0	0	0	0	0	0	53.80943677	0	0	0	0	6040.197021	0	2665.672371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	747.2348341	0	0	0	0	0	0	0	0	0	13.87156446	0	0	1170.777853	0	0	0	21.71722154	0	0	0	828.0211179	0	0	0	0	0	0	5.809987952	0	0	0	0	0	0	0	0	0	0	0	226.2262625	0	0	0	0	0	0	0	0	0	0	0	0	0	52.64402048	0	0	0	0	1269.142982	66.76991967	0	0	0	49.46557272	0	0	0	445.591393	0	0	0	0	0	0	0	0	0	0	0	14.31574965	0	0	0
NODE_1_length_13724_cov_55.402005	species:Acinetobacter	temperate	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	0	0	14.62950685	0	0	0	0	0	0	0	0	0	3.603566874	0	0	0	0	0	2.764503391	1.012180864	0	0	0	5.068497397	0	0	0	0	0	0	0	0	0	0	0	0.029169082	0	0	0	0	0	0	0	0	0	0	3.180666066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.159093273	0	0.192380937	0	0	13.50670487	0	0	0	0	0	3.34878371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.377591282	0	25.03499573	0	0	0	0	21982.10921	0	0	17157.90384	0	0
NODE_1_length_14126_cov_57.475588	species:Staphylococcus	temperate	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;subfamily:Azeredovirinae;genus:Phietavirus"	0	0	0	0	0	0	0	0	0	0	0	0	0	327.6205777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34547.10695	0	0	0	0	0	0	0	0	0.180973565	0	0	0	0	0	0	0	0	0	0	0	0	0	270.7884306	84.7329619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.33408505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1_length_1441_cov_9.426407	genus:Homo	-	"superkingdom:Viruses;family:Anelloviridae;genus:Alphatorquevirus"	0	0	0	0	0	0	0	0	0	0	0	0	0	4184.815478	0	0	0	0	0	0	0	0	0	2125.209149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.48094296	3010.756791	0	0	0	0	900.5483078	0	0	0	0	13.83734067	6.12543274	2.013788306	7.390127428	0	0	0	0	0	0	0	0	0	0	0	16981.42407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7983.350134	0	0	0	0	0	0	0	0	0	0	0	0	1463.405993	0	0	0	3695.286312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1_length_1485_cov_3.848252	species:Hafnia	virulent	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422.492776	0	0	0	0	0	0	0	0	0	0	8815.21471	0	0	0	0	0	0	0	0	0	0
