	FD21771986	FD21772128	FD21772138	FD21772261	FD21772292	FD21772311	FD21772346	FD21772351	FD21772392	FD21772472	FD21772506	FD21772517	FD21772746	FD21772795	FD21772802	FD21772806	FD21772808	FD21772863	FD21772902	FD21772908	FD21772947	FD21772963	FD21772979	FD21773044	FD21773104	FD21773140	FD21773259	FD21773336	FD21773348	FD21773450	FD21773530	FD21773537	FD21773545	FD21773644	FD21773651	FD21773674	FD21773724	FD21773744	FD21773746	FD21773752	FD21773803	FD21773840	FD21773841	FD21773858	FD21773934	FD21773956	FD21774007	FD21774168	FD21774169	FD21774233	FD21774281	FD21774370	FD21774498	FD21774523	FD21774545	FD21774611	FD21774623	FD21774628	FD21774637	FD21774674	FD21774695	FD21774746	FD21774760	FD21774818
DNA replication, recombination, and repair	5214.265997	49364.63413	871.9458281	74704.34755	10243.8636	56293.44947	8177.051765	49253.35424	14270.62005	35659.1301	672.6885748	90.94177877	13772.86909	62627.1887	10686.53076	23800.62975	1239.744011	4129.845986	7332.685124	112.33291	13921.76902	537.5142999	24355.92136	19048.83025	11518.44973	34.72513767	75796.60208	2947.02628	2349.79903	2174.957737	25219.15671	426.3307069	101.2108523	33433.58389	33554.56814	17838.5275	3432.580583	7575.524968	3458.882822	69.49048374	13229.44854	48034.96081	57621.89153	3198.693143	6021.689273	16752.76869	4852.971239	5864.675136	3025.417351	75411.78664	81158.72451	44.61469677	11149.3717	72405.73577	160.4618265	44448.13003	155.7430726	27363.29912	11054.2624	69.49301209	39828.26769	1176.956372	1531.427184	66984.72788
Host related function (toxin/antitoxin system and stress associated response)	3788.128829	31617.63723	428.0469714	46134.52906	4754.632267	40526.15259	6728.038755	27378.60498	11617.45089	10934.69703	1383.327123	41.94512303	3678.910846	33900.80014	5615.27225	4751.326062	283.2131322	1377.357692	0	23.51235343	4889.351961	333.729436	11786.55624	972.9505162	1099.17097	17.17091339	38737.87347	959.6113232	788.7767244	1094.069194	17532.09136	183.1752998	48.14035812	19408.3057	18462.36354	2704.037096	389.0110343	2914.693271	2735.295507	40.17355164	5224.00581	16909.75523	23999.6404	1650.840608	1135.280604	8667.137779	0	2218.154546	1617.963275	44524.25355	34682.78639	22.23108729	4675.581293	43536.18109	76.02790094	35722.60223	18.41281193	21217.26738	3112.750116	45.72943774	16135.0648	647.7562583	795.7451636	32653.40015
Lysogenic transformation, lytic development, and viral release	611.5885024	4144.082333	63.85390227	9125.165057	791.9059898	7931.531874	0	4918.586461	1775.407048	3164.491909	147.6880179	6.946235936	3854.381468	9052.257523	122794.6442	0	274.6359777	278.3293628	0	4.709475766	1981.21216	1005.433209	180796.9522	0	321.2014322	8.501696933	9438.993352	407815.9107	679.5578616	458.5191482	4900.265608	156.1120094	16.87098671	3927.888324	4396.757613	930.7029431	194.7748719	2509.567727	394.5439166	9.385798293	2085.263137	94322.36559	4497.925782	0	1683.933173	1807.725696	5053.376287	566.0137395	0	7628.076656	7001.415875	13.19749243	10117.82878	6248.809958	93.62206727	10931.14481	84.05448644	2395.471752	202380.7831	7.356104171	4298.302171	191.544391	181.8583021	4588.649105
Macromolecule modification (nucleotide modification)	1719.36134	17312.11787	79.26641632	20222.24957	2040.387344	16509.00537	6010.318919	8325.253321	5174.068358	9736.631943	0	13.4520809	2368.548781	14761.1648	4861.70297	4025.764895	270.2603855	624.5602274	1057.44574	17.84416369	784.1979466	213.1022011	3605.534492	2311.532118	937.5021506	1.580992298	16899.14668	948.0221348	294.8668851	0	10285.80563	61.61253531	5.7340502	7553.097056	9551.781309	689.7798085	666.2247928	2397.676172	1612.32482	22.08724984	1212.515912	6538.732898	14795.22935	0	470.5107394	590.0749395	0	1107.269733	1490.124202	15239.14121	16399.29195	10.52107067	2869.363984	18241.5045	21.80509233	8856.987996	17.02315647	6627.061258	402.8904635	5.914104476	0	334.8732045	332.9380064	14942.51235
Metabolism (anabolism and catabolism)	8006.383811	71430.223	855.2117416	124401.7899	15143.7313	118569.2827	21040.82789	63794.95252	22416.54666	59737.69845	7802.208993	121.9125974	25424.82097	94413.68161	17610.00018	27926.41205	621.9770775	2780.670763	1115.274804	95.00904888	13767.61886	643.4913354	28706.95583	6497.956652	4200.372415	21.71689492	118110.3016	4082.947934	1955.23032	1642.096919	39367.84964	454.7822283	163.3804407	44518.29621	39756.26525	6613.379661	45.44747011	6477.029543	4676.453067	142.0402532	13528.62419	44956.95969	61852.36937	773.0866878	4666.486176	23820.94484	10670.06977	7222.533844	15607.73811	97185.82643	88956.21718	66.67307093	18184.80033	108575.1517	248.6598551	88536.89451	149.867852	51557.50852	6669.713653	99.05151305	42374.05055	1597.174104	2014.376826	85440.79272
Mobilization and integration to host	978.5785734	10102.78281	112.7620584	19219.41807	1988.68489	13113.46026	4157.084099	12466.74492	2752.433927	8062.627305	0	18.01181116	746.5162884	14572.15145	4826.12569	3693.362289	226.3562912	429.6700982	3650.720375	4.315008548	2011.900993	142.7998189	4888.96414	932.931986	1798.865694	1.60183555	20900.20327	549.2877276	373.8165879	0	5479.37864	106.8782443	26.77137948	7681.454534	5043.24357	1113.577686	210.2496893	0	966.3155982	15.35320265	1611.697007	12457.18924	16232.37154	1055.293139	1157.384734	455.0706474	487.1506703	1030.556108	0	18105.19476	10475.95913	8.059753871	2599.0108	20660.55661	22.79270867	11401.97265	43.47628375	13499.35112	1824.56615	17.86983135	5141.976687	499.0735107	255.5703843	10232.35946
Regulation of gene expression	1355.205676	9780.859648	205.167341	20141.75139	2413.411832	17244.17517	2652.001101	12442.48989	5424.818858	6474.643267	2462.048385	31.28797587	0	20037.42853	3203.942974	2368.096997	141.6730675	524.5732658	3207.981458	20.8065968	4475.098252	72.44990813	3142.784913	0	844.9615814	0.737250295	21944.1201	743.4842968	484.8927953	1370.405544	14009.65649	88.93327444	15.71625583	5810.744182	4067.434178	1592.579852	0	1383.952791	1007.475824	18.78174362	2545.249419	6494.511846	10707.30757	0	365.6819218	5739.337552	0	1217.771308	0	18471.05391	11427.40513	12.60664264	4027.626223	20961.42471	48.32920604	18128.06446	12.55394351	23106.02737	1845.30427	5.591065156	5925.968066	352.5680437	283.3001854	18001.0302
Transcription, translation and post translational processing	1229.68989	12514.07135	69.74476091	17397.57162	1908.950022	14541.24069	2381.039681	6419.32106	4271.060418	5931.780747	225.2581007	14.57866048	4613.085755	13311.65595	2280.483405	0	176.5499065	687.8768251	0	13.87851981	2412.546704	107.6976863	3565.822546	0	320.7734427	2.151800418	14476.69782	639.3178631	291.8766699	289.0191787	4244.940766	105.7556933	19.60771753	4166.840877	8211.534117	380.3175766	229.6547692	0	772.9514929	19.52658341	1051.605526	7832.148989	9568.169138	0	2317.364903	2289.232759	0	1168.655963	922.783336	15528.48688	11595.10694	3.582649637	3552.351539	18182.77105	28.90406979	12869.66642	17.43343705	3094.253938	589.9697061	15.43969196	1942.480252	233.5681562	209.256211	10717.55603
Transport of chemicals, molecules,nutrients	362.5923613	1299.47761	0	1361.893055	157.9517574	1135.599991	0	1166.324933	433.5430056	461.8794707	0	2.05033184	0	1099.972989	0	0	22.92827081	0	0	0	313.3624322	0	486.4944282	0	0	0	1594.967069	39.84318599	23.8723208	0	0	1.102126685	2.646813049	779.3333271	767.3074835	0	0	0	110.1022579	0.778595209	583.3054805	462.0190324	0	0	0	1624.059467	0	64.58781734	0	1158.175302	1635.174835	0	410.3075156	1082.789449	0	629.5309507	0	0	148.9650726	0	0	18.29529307	19.48504631	834.8632202
Unassigned	1734316.778	1510619.881	1947894.509	1599409.339	1444564.172	1551379.878	1063339.429	1391090.124	1914180.864	1525544.719	1839711.293	1052075.293	1495364.069	1556543.945	1852373.304	1594575.616	2026807.204	1713017.585	990387.283	1471626.39	1391271.573	1500369.649	1012018.093	1380617.625	1546289.192	1707022.943	1618592.672	248383.5855	2333897.301	1552880.189	1259301.841	1448047.136	1444438.514	1414935.319	1142247.411	1207889.416	2018100.925	1730150.435	1809304.454	1284006.831	2013085.602	1261311.099	1473350.358	1133601.4	1951336.151	1308516.873	940940.2553	1469113.634	949479.23	1592701.298	1621003.283	1404151.314	1820188.141	1607123.736	1481043.728	1450212.663	1583731.836	1215610.995	1046816.32	1702648.961	1243336.402	1622907.767	1729185.905	1399953.635
